Job_Title,Skill,Company,No_of_Reviews,No_of_Stars,Date_Since_Posted,Location,Company_Employees,Company_Industry
Marketing Data Analyst,Marketing Automation| Marketing| E-Commerce| Excel| SQL| Tableau,Listrak,2,4,5,PA,,
Senior Data Analyst,R| Microsoft Office| STATA| SPSS,State of New Mexico,225,3.700000048,30,NM,,Government
Data Analyst I,Data Analysis| Project Management| Oracle| SQL| Microsoft Office,Management Science Associates Inc.,9,2.400000095,30,PA,,
Data Analytics Analyst 2,Time Management| Microsoft Powerpoint,IQVIA,140,3.700000048,28,NJ,,Pharmaceuticals
Data Analyst,SQL,Managed Care Advisors,,,30,MD,,
StudentUniverse Jr. SQL Data Analyst - Waltham MA,Linux| Microsoft SQL Server| Crystal Reports| SQL| Excel| Tableau| T-SQL| CentOS| Visual Studio| Git| PostgreSQL| Shell Scripting| Jira| openSUSE,Flight Centre,,,30,MA,,
"Analyst, Data Analytics",Microsoft Powerpoint| Python| SQL| Excel,"CMI Media and Compas, Inc.",7,3.599999905,30,PA,"Less than 10,000",Consulting and Business Services
Data Analyst (Infection Control),,RWJBarnabas Health,1235,4,30,NJ,"10,000+",Health Care
Marketing Data Analyst,SPSS| Data Analysis| R| Python| Tableau,Beaumont Health,738,3.799999952,26,MI,"10,000+",Health Care
Implementation Data Analyst,Informatica| SQL| Microsoft Access,Fidelity Investments,3021,4.099999905,22,NC,"10,000+",Banks and Financial Services
Bookkeeper/Data Analyst,,Envisagegroup,,,30,NY,,
Healthcare Reimbursement and Data Analyst,Data Mining| Microsoft Powerpoint| Visual Basic| Power BI| Excel| SQL| Accounting,Ensign Services,174,2.799999952,30,TX,"10,000+",Health Care
Clinical Data Analyst,"Crystal Reports| SQL| Microsoft Office| ""Drivers License""| Data Analysis",Sweetser,53,3,13,ME,,
Data Analyst,Microsoft Powerpoint| Google Analytics| Excel| Spark| Data Analysis| Python,The Parking Spot,146,3.599999905,30,IL,"Less than 10,000","Restaurants, Travel and Leisure"
Data Analyst - Aftermarket,Data Mining| ERP Systems| Microsoft Office| APICS Certification| Supply Chain Experience,Zodiac Aerospace,1133,3.299999952,29,TX,,Transport and Freight
Research and Evaluation Data Analyst,R| SQL,AIDS Foundation of Chicago,9,4.599999905,22,IL,,
"Data Analyst, Customer Support Operations",SQL,Coinbase,3,4.699999809,6,OR,"Less than 10,000",Internet and Software
"MCI Quality Data Analyst, Miami Cancer Institute, FT, 8a-4:3...",Microsoft Powerpoint| Visio| Tableau,Baptist Health South Florida,851,4.199999809,30,FL,"10,000+",Health Care
Quality Improvement Data Analyst,,Boston Children's Hospital,377,4.199999809,24,MA,"Less than 10,000",Organization
Marketing Data Analyst,Visual Basic| Microsoft Office| SQL,Fabick Cat,30,3.700000048,30,MO,,
Data Analyst,Data Mining| Data Analysis| SAS| SQL,Community Behavioral Health,47,3.799999952,30,PA,"Less than 10,000",Organization
Analyst - Transfer Price Data Analytics,,Cardinal Health,2722,3.599999905,13,OH,"10,000+",Health Care
Network and Secondary Data Analyst,Microsoft Powerpoint| Project Management| R| Excel| Tableau| STATA,Academy for Urban School Leadership,9,3.299999952,13,IL,"Less than 10,000",Education and Schools
Data Analyst,SQL,Arrowpoint Corporation,10,3.299999952,30,VA,"Less than 10,000",Computers and Electronics
Reimbursement Data Analyst,,University of Maryland Medical System,737,4,9,MD,"10,000+",Health Care
Listings Data Analyst,,JLL,1887,3.799999952,28,CA,"10,000+",Real Estate
Metrics and Data Analytics Analyst,,CSRA,318,3.5,6,VA,,
Title IX Data Analyst,Data Mining| Data Analysis,Chicago Public Schools,1216,3.900000095,30,IL,"10,000+",Education and Schools
Provider Data Analyst,SAS| Excel| Microsoft Access| Accounting,Moda Health,106,3.200000048,5,OR,,
Network and Secondary Data Analyst,Microsoft Powerpoint| Project Management| R| Excel| Tableau| STATA,AUSL Chicago,,,13,IL,,
Clinical Data Analyst,,Gila River Health Care,81,3.400000095,30,AZ,,Health Care
Data Analyst,R| Python| Tableau,SECU,52,3.599999905,30,MD,"Less than 10,000",Organization
Healthcare Data Analyst,Machine Learning| SDLC| SAS| SQL| Tableau| Python| Jira| AWS,Bind Benefits,,,13,MN,,
Data Analyst,Oracle| SQL| Troubleshooting| Informatica,Charles Schwab,948,4.099999905,6,TX,"10,000+",Banks and Financial Services
MARS Data Analyst I,Microsoft SQL Server| SQL| Microsoft Office,MultiPlan Inc.,245,3.700000048,15,PA,,
Quality Improvement Data Analyst,,Boston Children's Hospital,377,4.199999809,30,MA,"Less than 10,000",Organization
Data Analyst,Hadoop| Scala| SQL| Java| Big Data| Spark| Telecommunication| NoSQL| Python| AWS,First Orion,,,30,AR,,
DATA ANALYST,Salesforce CRM| Microsoft SQL Server| SQL| Excel| Tableau,Chapman Cubine Adams & Hussey,,,30,VA,,
DATA ANALYST,STATA| R| SAS| SQL,University of Pennsylvania,722,4.199999809,30,PA,"10,000+",Education and Schools
Marketing Data Analyst,Google AdWords| Data Mining| Marketing Automation| Marketing| R| SAS| SQL| Tableau| STATA| SPSS| Python,Management Concepts,26,3,1,VA,,
Healthcare Data Analyst,Leadership Experience| Excel| Tableau,NaviHealth,49,3.299999952,14,TN,,Health Care
Marketing Data Analyst,Business Intelligence| Microsoft Powerpoint| Marketing Automation| Marketing| Omniture| SQL| Tableau| Marketo| Visio| Doubleclick| Multichannel Marketing,thoughtmatrix,,,30,CA,,
Data Analyst,Microsoft SQL Server| Data Analysis| Power BI| Excel,ClassLink Inc,,,30,NJ,,
Data Analyst,Business Intelligence| Project Management| R| SAS| SQL| Python,Zimmerman Advertising,68,2.900000095,30,FL,,
Data Analyst/Program Coordinator- Full,Microsoft Powerpoint| SQL| Microsoft Office,AHMC Healthcare Inc,,,30,CA,,
BI Data Analyst,SQL,"RE/MAX, LLC",1894,4.199999809,30,CO,,Real Estate
Loan Portfolio Data Analyst,Excel,Capital Impact Partners,3,4,30,VA,,
Data Analyst II,SharePoint| Microsoft SQL Server,Clayton Homes,325,3.599999905,30,TN,"10,000+",Construction
Data Analyst,Data Mining| R| SAS| SQL| Tableau| Python,United Fire Group,33,3.5,30,IA,"Less than 10,000",Insurance
Data Analyst,MATLAB,MIT Lincoln Laboratory,75,4.199999809,30,MA,"Less than 10,000",Aerospace and Defense
Business Data Analyst,SQL,BookBub,,,14,MA,,
2019 Summer Intern Program - Data Analyst Intern,Microsoft Powerpoint| R| SAS| SQL,AllianceData,988,3.799999952,14,GA,"Less than 10,000",Banks and Financial Services
Employee Benefits Data Analyst,,AssuredPartners,13,2.799999952,30,WA,,Insurance
Data Analyst,Salesforce CRM,PowerSchool,24,3.200000048,30,CA,"Less than 10,000",Internet and Software
Data Analyst,SAS| SQL| Audits,Progressive,2080,3.799999952,5,OH,"10,000+",Insurance
Analyst - Data Analytics,,The Situs Companies,18,3.099999905,30,USA,,
HR Data Analyst,Microsoft Office| SQL,Mary Washington Healthcare,309,3.5,30,VA,,Health Care
ATLANTA Campus Recruiting 2018 - I&D - Data Analyst,Data Mining| Business Analysis,Capgemini,6072,3.799999952,6,GA,"10,000+",Consulting and Business Services
Data Analyst,JavaScript| Microsoft SQL Server| Time Management| SQL| Excel| JSON| Tableau| Angular,Brightree,39,3.599999905,29,GA,,Consulting and Business Services
Data Analyst,Power BI| R| Excel| SQL| Data Warehouse| Data Science,ITAGroup,8,3.5,30,IA,,
Healthcare Data Analyst,RHIA| CPHQ| Medical Terminology| Power BI| SQL,Virginia Mason Medical Center,138,3.900000095,12,WA,"Less than 10,000",Health Care
HEALTHCARE DATA ANALYST,JavaScript| Data Mining| XML| SQL,Appalachian Regional Healthcare,114,3.599999905,30,KY,"Less than 10,000",Health Care
Quality Data Analyst,Microsoft Powerpoint| SAS| Microsoft Office| Excel| SQL| Customer Service| Microsoft Access,MaineHealth,300,3.799999952,30,ME,"10,000+",Health Care
Data Analyst,Microsoft SQL Server| Power BI| R| Crystal Reports| SQL| Tableau,Horizon Health Services,32,3,30,NY,,Health Care
Data Analyst - Children's Community Practices,Microsoft Powerpoint,Nationwide Children's Hospital,399,4.099999905,30,OH,"Less than 10,000",Health Care
Data Analyst,Microsoft SQL Server| SAS| Data Warehouse,"Hitech Assets, LLC.",,,27,MD,,
Data Analyst,SharePoint| Visio| Data Analysis| Oracle| SQL| Microsoft Office,NetVision Resources (NVR),,,30,VA,,
Data Analyst Intern,SAS,General Dynamics Information Technology,4573,3.799999952,30,AR,"10,000+",Aerospace and Defense
Encounters Data Analyst,Data Mining| Microsoft SQL Server| Microsoft Powerpoint| SAS| SQL| Excel| Data Analysis,WellCare,1008,3.5,29,FL,"Less than 10,000",Health Care
"Data Analyst, Information Security",Information Security| Excel,Cisco Systems,4251,4.099999905,24,NC,"10,000+",Internet and Software
Marketing Data Analyst,SQL| Excel,Plymouth Rock Assurance Corporation,57,3.599999905,24,NJ,,Insurance
Marketing Data Analyst,Marketing Automation| Marketing| E-Commerce| Excel| SQL| Tableau,Listrak,2,4,5,PA,,
Data Analyst,Time Management| Microsoft Powerpoint| Microsoft Office| Analysis Skills,Philips,2880,4,30,TN,"10,000+",Health Care
Data Analyst - Cardiology,Analysis Skills| R| SAS,Columbia University,830,4.099999905,30,NY,,Education and Schools
Geographic Information System (GIS) Data Analyst,Microsoft Office| Alteryx| Data Analysis| Six Sigma Certification| Six Sigma| GIS,Kroger,24248,3.599999905,14,OR,"10,000+",Retail
Data Analyst II,Data Warehouse| Data Analysis| Audits| SQL| Microsoft Access,Centene,1134,3.299999952,30,NM,"Less than 10,000",InsuranceHealth Care
CCPM Data Analyst,Microsoft Office| Excel| SQL| Tableau| Microsoft Access| T-SQL| Content Management Systems| Microsoft Word,Penobscot Community Health Care,17,3.5,30,ME,,Health Care
Digital Data Analyst,Google Analytics| Marketing| Digital Marketing| Tableau| Multichannel Marketing| Attribution Modeling,Unilever,5416,4.199999809,30,NJ,"10,000+",Consumer Goods and Services
Data Analytics Analyst,Time Management| Machine Learning| R| SAS| Microsoft Office| Excel| SQL| Tableau| Python,NRG Energy,319,3.900000095,29,NY,"Less than 10,000",Energy and Utilities
Research and Data Analyst,R| Excel| SQL| SPSS| Leadership Experience| SAS| Microsoft Office| Tableau| Visio,State of Arizona,724,3.599999905,26,AZ,"10,000+",Government
Data Analyst,Hyperion| Project Management| Marketing| R| Crystal Reports| SQL| Microsoft Office| Tableau| Microsoft Access| Python| Coaching Experience,Laureate International Universities,234,3.5,30,MD,,Education and Schools
Data Analyst,Microsoft Powerpoint,QuEST Global Engineering,139,3.299999952,27,CT,"10,000+",Aerospace and Defense
Executive Assistant and Data Analyst,SharePoint| Hyperion| Microsoft Powerpoint| Microsoft Office,ITT Corporation,865,3.799999952,8,PA,,
IT Enterprise Data Analyst,Business Intelligence| Data Mining| Data Warehouse| R| SAS| Oracle| SQL,Citizens Energy Group,21,3.599999905,1,IN,,
"SQL Data Analyst - Fort Mill, SC",SQL,LiniumTalentAcquistion,,,30,SC,,
Data Analyst,JavaScript| SQL| Microsoft Office| Java| Microsoft Word| Angular| Visio| Data Analysis| PHP,Nolij Consulting,6,3.299999952,12,VA,,
Business Data Analyst,Data Mining,University of Utah,430,4.199999809,30,UT,"10,000+",Education and Schools
Business Operations Data Analyst,Microsoft Powerpoint| Excel| Microsoft Office,ACN,265,3.700000048,30,NC,,
Business Data Analyst,SDLC,Cognizant,10491,4,7,CT,"10,000+",Internet and Software
Market Data Analyst,,alliantgroup,43,2.5,30,TX,"Less than 10,000",Consulting and Business Services
HEDIS/Quality Improvement Data Analyst,Epic| R| SAS| SQL| Microsoft Office| Tableau| Microsoft Word| Cerner| SPSS| Python,Blue Cross Blue Shield of Arizona Advantage,2,2.5,1,AZ,,Health Care
Healthcare Data Analyst,Quantitative Analysis| Time Management| R| SAS| Python| Excel| SQL,Milliman,87,3.700000048,30,IN,,
Real Estate Data Analyst,Tableau,Conduent,2773,2.799999952,11,NJ,"10,000+",Consulting and Business Services
ERP Data Analyst,ERP Systems| Microsoft Office,Wildlife Conservation Society,146,3.900000095,30,NY,,Organization
Data Analyst,Data Mining| Analysis Skills| QlikView| SAS| SQL| Microsoft Office| Tableau,Carter Bank and Trust,24,3.299999952,24,VA,"Less than 10,000",Banks and Financial Services
Financial Data Analyst,,Astor Services For Children & Families,26,2.700000048,8,NY,"Less than 10,000",
Marketing Data Analyst,Marketing| Digital Marketing| SQL| Tableau,2U,,,10,MD,,
Data Analyst,,Systems Staffing Group,,,9,GA,,
Financial Data Analyst - Apparel and E-commerce,Time Management| Project Management| Business Analysis| Tableau,"Zumba Fitness, LLC",10,4,14,FL,,Consumer Goods and Services
Consumer Data Analyst I,Time Management| Power BI| R| SAS| Microsoft Office| Python,BOK Financial,321,3.700000048,6,OK,"Less than 10,000",Banks and Financial Services
Research Data Analyst,MATLAB| Signal Processing,Alaka`ina Foundation Family of Companies,,,17,AL,,
Data Analyst,Microsoft SQL Server| Financial Accounting| Accounting| ERP Systems| Visual Basic| Power BI| Excel| Microsoft Access,CHEP,480,3.599999905,30,FL,"10,000+",Consulting and Business Services
Data Analyst (Research Analyst),ICD-10| Microsoft Powerpoint| SAS| Microsoft Office| ICD-9| Medical Coding,Harvard Pilgrim Health Care,65,4.099999905,13,MA,"Less than 10,000",Health Care
"Sr. Analyst, Data Analytics",SQL,First National Bank of Omaha,131,4.199999809,16,NE,,Banks and Financial Services
Data Analyst III,Data Analysis| Excel| SQL| Microsoft Office| Microsoft Access,Centene,1134,3.299999952,27,FL,"Less than 10,000",InsuranceHealth Care
Business Data Analyst,Power BI| Data Analysis| Statisical Analysis| Excel,UL LLC,262,3.700000048,30,IL,,
Data Analyst - Analytic Solutions,Data Analysis| R| SAS| Python| SQL,Credit Acceptance,120,3.599999905,20,MI,"Less than 10,000",Banks and Financial Services
Senior Client Insights Data Analyst,,Sun Life Financial,923,3.900000095,5,MO,"10,000+",Insurance
Senior Client Insights Data Analyst,,Sun Life Financial,923,3.900000095,5,ME,"10,000+",Insurance
Military Fitness Programs Data Analyst,Data Analysis| Microsoft Office,8-Koi,,,21,TN,,
"Data Analyst, Reporting & Analysis",Hyperion| Oracle| SQL| Microsoft Office| Excel| Tableau| Microsoft Access| Data Analysis,The New School,103,3.900000095,20,NY,,Education and Schools
Data Analyst III (Technical),,Kaiser Permanente,8164,4.199999809,30,OR,"10,000+",Health Care
Order Management Data Analyst,Excel| SQL,Curriculum Associates,8,4.099999905,30,MA,"Less than 10,000","Media, News and Publishing"
Technical Data Analyst,JavaScript| Digital Marketing| CSS| Python| HTML5| SQL,Dyson,235,3.700000048,12,IL,"Less than 10,000",Consumer Goods and Services
Business Data Analyst,Data Mining,University of Utah,430,4.199999809,30,UT,"10,000+",Education and Schools
MS Access / VBA Developer / Data Analyst,Microsoft SQL Server| Active Directory| Visual Basic| SDLC| SAP| Microsoft Office| SQL| Microsoft Access,Cormac Corporation,4,4.300000191,4,DC,,
Surveillance Data Analyst,Microsoft SQL Server| R| Eclipse| Crystal Reports| SQL| STATA| MySQL| C#| SPSS| PostgreSQL| OOP| SAS| Java| .Net| Visual Studio| UI,Battelle,291,3.799999952,14,GA,"10,000+",Consulting and Business Services
Real Estate Data Analyst,Tableau,Conduent,2773,2.799999952,11,NJ,"10,000+",Consulting and Business Services
Data Analyst,JavaScript| R| SQL| HTML5| Tableau| CSS,Commonwealth Of Virginia,,,30,VA,,
DATA ANALYST/SPECIALIST - Admitting (Full Time),Data Mining| Analysis Skills,Universal Health Services,56,4,30,DC,,Health Care
Healthcare Data Analyst II,SQL| Tableau,Premera Blue Cross,296,3.700000048,6,WA,"Less than 10,000",Insurance
Data Analyst II,Data Analysis| R| SQL| Microsoft Access,Centene,1134,3.299999952,30,IL,"Less than 10,000",InsuranceHealth Care
Sr Data Analyst,Data Analysis| R| Python| SQL,"Gartner, Inc.",307,3.799999952,27,TX,"Less than 10,000","Media, News and Publishing"
Healthcare Data Analyst,Microsoft SQL Server,"Baltimore Medical System, Inc.",41,2.799999952,30,MD,,
Compliance Data Analyst,Python| Excel| SQL| Microsoft Access,Ensign Services,174,2.799999952,30,CA,"10,000+",Health Care
"HR Reporting and Data Analyst , CSS HR/APS -",CSS,University of California Berkeley,263,4.099999905,7,CA,,Education and Schools
Data Analyst - Omni-Channel Marketing,Database Marketing| Data Mining| Marketing| Python| SQL| Tableau,Fossil Group,110,3.900000095,30,TX,"10,000+",Consumer Goods and Services
Hub Data Analyst,Microsoft Powerpoint| SAS| SQL| Microsoft Office,Fund for Public Health in New York City,,,30,NY,,
Data Analyst - University Institutional Research & Reporting,,Indiana University,332,4.300000191,4,IN,,Education and Schools
Enrollment Data Analyst - Siena College,,Siena College,56,4.099999905,18,NY,,Education and Schools
Data Analyst,T-SQL| Database Administration| Microsoft SQL Server| Analysis Skills| Visual Basic| SQL| Excel,Precision Value & Health,,,30,IN,,
Marketing Data Analyst,Alteryx| Marketing| Python| Excel| SQL| Microsoft Access| Tableau,MassMutual Financial Group,845,3.799999952,30,CT,"Less than 10,000",Banks and Financial Services
Clinical Data Analyst,,Piedmont Healthcare,347,3.700000048,30,GA,,Health Care
Quality Data Analyst,Project Management| Quality Management| Minitab,Cook Medical,146,3.700000048,30,IN,,
"Data Analyst, Quality Built-In",Microsoft Powerpoint| Visio| Microsoft Office,Children's Hospital & Research Center Oakland,7,3.299999952,30,CA,,Health Care
eBusiness Data Analyst,Google Analytics| Machine Learning| Microsoft Powerpoint| R| SQL| Spark| MATLAB| Python,EMD,50,4,30,MO,"10,000+",Industrial Manufacturing
Healthcare Data Analyst II - MHE,Data Mining| Time Management| SAS| Excel| SQL,University of Massachusetts Medical School,689,4.199999809,1,MA,,Education and Schools
Sales Operations - Data Analyst,,GrayMatter,,,16,PA,,
Data Analyst III,Data Analysis| Excel| SQL| Microsoft Office| Microsoft Access,Centene,1134,3.299999952,25,FL,"Less than 10,000",InsuranceHealth Care
Market Data Analyst,Microsoft Office,Parametric,8,3.299999952,30,WA,,
Data Analyst,Business Intelligence| Microsoft Powerpoint| Project Management| Excel| Tableau| Alteryx,Neuberger Berman,61,3.799999952,30,NY,"Less than 10,000",Banks and Financial Services
Sales Operations - Data Analyst,Microsoft Office,Gray Matter Systems,,,16,PA,,
"Data Analyst III(SQL, Excel, Healthcare)",PeopleSoft| Business Intelligence| Project Management| SAP| Excel| SQL| Microsoft Office| Workday| Microsoft Access| Project Implementation| Data Warehouse| Data Analysis,Centene,1134,3.299999952,2,PA,"Less than 10,000",InsuranceHealth Care
Senior Data Analyst,R| SAS| STATA,Harvard University,607,4.300000191,30,MA,,Education and Schools
Senior Data Analyst,Time Management| Data Analysis| SQL,Partners HealthCare,351,4,30,MA,,Health Care
Business Process/Data Analyst,Microsoft Office| Microsoft Access,KBRWyle,183,3.900000095,30,TX,"10,000+",Government
Bioinformatics Data Analyst I,Machine Learning| R| C/C++| SQL| Natural Language Processing| STATA| Analysis Skills| Software Development| Data Analysis| OOP| Molecular Biology| Epidemiology| Data Mining| Time Management| Hadoop| SAS| Java| Python,University of Utah,430,4.199999809,30,UT,"10,000+",Education and Schools
HRIS Data Analyst,Employee Evaluation| Microsoft Office| Microsoft Access,Anchorage Consultants LLC,,,1,DC,,
"Data Analyst, Bureau of Primary Care Access and Planning",Microsoft Powerpoint| SAS| SQL| Microsoft Word| SPSS,NYC Careers,265,4.099999905,1,NY,,Government
Business Data Analyst,Data Analysis,Capgemini,6072,3.799999952,29,NC,"10,000+",Consulting and Business Services
Active Directory Data Analyst,Microsoft SQL Server| Azure| SDLC| Microsoft Office| SQL| Active Directory| Data Warehouse| Software Development,Advantage Solutions,1985,3.5,16,CA,"10,000+",Retail
Pyro/Demo and Explosive Breaching Data Analyst (Journeyman),Microsoft Word| Microsoft Powerpoint| Microsoft Office,"Cydecor, Inc.",11,3.900000095,20,VA,"Less than 10,000",Consulting and Business Services
Senior Data Analyst,Machine Learning| SQL| Python,Toole Design Group LLC,,,6,MA,,
Epidemiologist and Data Analyst-FHP,Statistical Software| SPSS,BRS,34,3.700000048,26,TX,,
Epidemiologist and Data Analyst-FHP,Statistical Software| SPSS,BRS,34,3.700000048,26,TX,,
Master Data Analyst,,FARO Technologies,57,3.5,30,FL,,Industrial Manufacturing
Health Data Analyst - Experienced,R| SAS| Microsoft Office| SQL| Microsoft Access| Python,Blue Shield of California,542,3.599999905,21,CA,"Less than 10,000",Health Care
Marketing Data Analyst,Business Intelligence| Microsoft Powerpoint| Marketing Automation| Marketing| Omniture| SQL| Tableau| Marketo| Visio| Doubleclick| Multichannel Marketing,Rauxa,12,3.5,27,CA,,
Quality Data Analyst,"Microsoft Powerpoint| ""Drivers License""| Clean Driving Record| Leadership Experience| Microsoft Office| SQL",Altair Engineering,62,4.199999809,9,MI,,
"Data Analyst, Games and Marketing",Quantitative Analysis| R| Python| SQL| Tableau,Kongregate,,,30,OR,,
Surveillance Data Analyst,Microsoft SQL Server| R| Eclipse| Crystal Reports| SQL| STATA| MySQL| C#| SPSS| PostgreSQL| OOP| SAS| Java| .Net| Visual Studio| UI,Battelle,291,3.799999952,20,GA,"10,000+",Consulting and Business Services
Operations Data Analyst,,TracyLocke,17,3.900000095,30,IL,"Less than 10,000",Consulting and Business Services
Associate Data Analyst,Hadoop| R| SQL| Data Analysis| Python,comScore,62,3.5,30,VA,,
Clinical Data Analyst – FHC Clinical Outcomes – Altamonte,Microsoft Powerpoint| RN| ICU| Nursing Experience| Leadership Experience,Florida Hospital,1983,4.099999905,1,FL,"10,000+",Health Care
Junior Data Analyst,Microsoft SQL Server| R| SAS| Oracle| SQL| Tableau| Java| Data Warehouse| Data Analysis| Python,CACI,1435,3.900000095,30,DC,"10,000+",Consulting and Business Services
Data Analyst - Heart Source,Microsoft Office| Tableau| Data Analysis,Columbia University,830,4.099999905,30,NY,,Education and Schools
Data Analyst II,Business Intelligence| SQL| QlikView,Adventist Health System,46,3.799999952,5,TX,,Health Care
Data Analyst,Analysis Skills| Machine Learning| R| Python| Tableau,Lockheed Martin Corporation,6415,4.099999905,30,TX,"10,000+",Aerospace and Defense
Data Analyst,Analysis Skills| Machine Learning| R| Python| Tableau,Lockheed Martin Corporation,6415,4.099999905,30,TX,"10,000+",Aerospace and Defense
Data Analyst,Analysis Skills| Machine Learning| R| Python| Tableau,Lockheed Martin Corporation,6415,4.099999905,30,TX,"10,000+",Aerospace and Defense
Data Analyst. Customer Experience,Big Data| Data Science| Python| SQL,Geotab,8,3.799999952,30,NV,"Less than 10,000",Internet and Software
"Data Analyst, Shutterfly Business Solutions",JavaScript,Shutterfly,376,3.799999952,9,MN,,Retail
Data Analyst - Media Analytics,Excel,Nielsen,2066,3.799999952,30,CT,"10,000+",Consulting and Business Services
HR Data Analyst,UltiPro| Microsoft Powerpoint| Excel,Rosecrance Health Network,72,3.5,29,IL,,Health Care
HR Data Analyst II (896),Microsoft Powerpoint| Microsoft Office| Professional In Human Resources| SHRM Certified Professional,Engie,781,3.700000048,13,TX,,Energy and Utilities
Defined Benefit Data Analyst,,Morneau Shepell,226,3.099999905,30,CT,"Less than 10,000",Consulting and Business Services
Personal Lines & Farm Underwriting Data Analyst,SQL| Tableau,Farm Bureau Insurance of Michigan,177,4.099999905,2,MI,"Less than 10,000",Insurance
"Data Analyst, Development & Alumni Relations",Business Intelligence| Data Mining| SAS| Crystal Reports| SQL| Tableau,Pace University,270,4.300000191,1,NY,,Education and Schools
Data Analyst III,Microsoft SQL Server| Data Analysis| Excel| SQL| Microsoft Office| Microsoft Access,Centene,1134,3.299999952,27,FL,"Less than 10,000",InsuranceHealth Care
Performance Improvement Data Analyst,Data Mining| Project Management| Excel,Einstein Healthcare Network,112,3.400000095,19,PA,"Less than 10,000",Health Care
Data Analyst,Business Intelligence| Project Management,Travelers,1434,3.700000048,30,CT,"10,000+",Insurance
Sr. Campaign Data Analyst,Microsoft Powerpoint,SUBWAY,33082,3.700000048,30,CT,"10,000+",Food and Beverages
Senior Data Analyst,MATLAB,EnerNOC,43,3.799999952,30,OR,"Less than 10,000",Energy and Utilities
Senior Data Analyst,Machine Learning| SQL| Python,Toole Design Group LLC,,,6,MN,,
Senior Client Insights Data Analyst,,Sun Life Financial,923,3.900000095,5,CT,"10,000+",Insurance
Data Analyst,JavaScript| Data Mining| SPSS| XML| SAS| SQL,Cricut,10,3.299999952,30,UT,"Less than 10,000",Consumer Goods and Services
Marketing Data Analyst,Salesforce CRM| Salesforce Marketing Cloud| Microsoft Powerpoint| Marketing| Excel| Microsoft Office,The Money Source,55,2.799999952,30,MI,,
Data Analyst,Confluence| XML| SAS| Jira| SQL,Evolent Health,90,3.700000048,30,IL,"Less than 10,000",Health Care
Business Data Analyst,Oracle| Crystal Reports| SQL,DHL,323,3.900000095,26,OH,,
Health Data Analyst - Experienced,R| SAS| Microsoft Office| SQL| Microsoft Access| Python,Blue Shield of California,542,3.599999905,20,CA,"Less than 10,000",Health Care
Data Analyst (mid-level),Google Analytics| R| SQL| Excel| Python,WW International (formerly Weight Watchers),,,26,NY,,
Business Data Analyst,Data Analysis,Capgemini,6072,3.799999952,30,NC,"10,000+",Consulting and Business Services
Sr Data Analyst,Data Analysis| SAS| SQL,General Dynamics Information Technology,4573,3.799999952,14,IA,"10,000+",Aerospace and Defense
Strategic Operations Data Analyst,Time Management| SQL| Microsoft Office,Santander Consumer USA,601,3.400000095,10,TX,"Less than 10,000",Banks and Financial Services
"Analyst, Data and Analytics Support",Excel,Parametric,8,3.299999952,26,WA,,
Python Programmer & Data Analyst Administrator,Microsoft Powerpoint| Mac OS| Python| Microsoft Office| SQL| Tableau,"Nordic Naturals, Inc.",21,3.900000095,30,CA,,
Data Analytics Analyst,,CSRA,318,3.5,30,VA,,
Business Data Analyst,Power BI| Data Analysis| Statisical Analysis| Excel,Underwriters Laboratories,262,3.700000048,30,IL,,
Data Analyst - Quality Improvement - Full Time - Days,Microsoft Powerpoint| RHIT| NCQA Standards| CPT Coding| Microsoft Office| Managed Care,ProMedica,281,3.799999952,30,OH,"10,000+",Health Care
Project Data Analyst I - Security,Microsoft Word| Military Experience| Microsoft Office,"Akima, LLC",219,3.599999905,9,VA,"Less than 10,000",Aerospace and Defense
Data Analyst Professional,SOX| Visio| Business Analysis| Excel| SQL,Freddie Mac,607,3.900000095,30,VA,"Less than 10,000",Banks and Financial Services
Research and Data Analyst-Student Learning,Data Mining| Data Analysis,Northeastern University,378,4.300000191,30,MA,,Education and Schools
Clinical Data Analyst,,"Beaver Dam Community Hospitals, Inc.",2,5,11,WI,,Health Care
Metrics and Data Analytics Analyst,,CSRA,318,3.5,30,VA,,
Fraud Data Analyst,Data Analysis| Oracle| SQL,U.S. Bank,5986,3.700000048,25,MN,"10,000+",Banks and Financial Services
Data Analyst (Jr. Level),Adobe Acrobat| Microsoft Powerpoint| Microsoft Office,Alion Science and Technology,192,3.599999905,22,DC,"Less than 10,000",Internet and Software
"Data Analyst, Games and Marketing",,Kongregate,,,30,OR,,
Associate Data Analyst,SAS| SQL,Discover Financial Services,1948,4,30,IL,"10,000+",Banks and Financial Services
Housing Data Analyst - Block Grant Assistance,Data Analysis| Excel| Microsoft Access,Cloudburst Consulting Group Inc,,,21,MD,,
Data Analyst,,Crozer Keystone Health System,104,3.5,26,PA,"Less than 10,000",Health Care
Data Analyst,Quantitative Analysis| Microsoft Powerpoint| Microsoft Office| SharePoint| Visio,Capgemini Government Solutions,6072,3.799999952,30,IN,"10,000+",Consulting and Business Services
Data Analyst,Excel,CompuGain,14,4.099999905,4,CT,,
"Data Analyst, Gas Materials & Standards",Visual Basic| HTML5| SQL| Microsoft Access| Java| SharePoint,National Grid,575,3.900000095,29,NY,,
