stop,route,location,lat,lng
SMITH SPRINGS RD & BELL RD EB,ANTIOCH EXPRESS,"(36.090031, -86.625678)",36.090031,-86.625678
ELM HILL PIKE & SPENCE LN EB,AIRPORT - DOWNTOWN HOTELS,"(36.143903, -86.722807)",36.143903,-86.722807
BUENAVIEW BLVD & BUENA VISTA PIKE E,WHITES CREEK,"(36.228219, -86.823837)",36.228219,-86.823837
OLD HICKORY BLVD & COPPERFIELD WAY,TUSCULUM - McMURRAY EXPRESS,"(36.041661, -86.748715)",36.041661,-86.748715
MURFREESBORO PIKE & DOVER GLEN DR S,MURFREESBORO PIKE,"(36.076775, -86.641112)",36.076775,-86.641112
4TH AVE & UNION ST SB,LEBANON PIKE,"(36.16517, -86.779943)",36.16517,-86.779943
THOMPSON PL & MURFREESBORO PK WB,THOMPSON CONNECTOR,"(36.12692, -86.710293)",36.12692,-86.710293
11TH AVE & CHURCH ST SB,12TH AVENUE SOUTH,"(36.159402, -86.788385)",36.159402,-86.788385
23RD AVE / CENTENNIAL STATION INBOUND,CHARLOTTE,"(36.155808, -86.809191)",36.155808,-86.809191
WEST END AVE & 23RD AVE S WB,WEST END - WHITE BRIDGE,"(36.149007, -86.804449)",36.149007,-86.804449
MERIDIAN ST & TREUTLAN ST SB,MERIDIAN,"(36.18018, -86.769153)",36.18018,-86.769153
RICHARDS RD & DEBRA DR EB,ANTIOCH EXPRESS,"(36.067477, -86.665184)",36.067477,-86.665184
BATAVIA ST & 31ST AVE N WB,HERMAN,"(36.160819, -86.822757)",36.160819,-86.822757
HWY 70 S & CARNAVON PKWY EB,WEST END - BELLEVUE,"(36.089624, -86.890967)",36.089624,-86.890967
17TH AVE STATION OUTBOUND,CHARLOTTE,"(36.158874, -86.798114)",36.158874,-86.798114
JEFFERSON ST & 8TH AVE N EB,MUSIC CITY BLUE CIRCUIT,"(36.173345, -86.790663)",36.173345,-86.790663
Z_BELL RD & OLD HICKORY BLVD EB,HICKORY HOLLOW-LENOX EXPRESS,"(36.045264, -86.701943)",36.045264,-86.701943
CLIFF DR & CLARKSVILLE PIKE NB,BORDEAUX,"(36.194012, -86.827488)",36.194012,-86.827488
STRATFORD AVE & PIEDMONT AVE NB,SHELBY,"(36.20126, -86.716409)",36.20126,-86.716409
NOLENSVILLE PIKE & APRIL LN SB,NOLENSVILLE PK BRT LITE,"(36.056063, -86.715836)",36.056063,-86.715836
SCOTT AVE & JEANS CT SB,SCOTT,"(36.197263, -86.732298)",36.197263,-86.732298
12TH AVE S & HAWKINS ST SB,BELMONT,"(36.148669, -86.785136)",36.148669,-86.785136
FRANKLIN PIKE & HORNER AVE NB,8TH AVENUE SOUTH,"(36.12221, -86.775663)",36.12221,-86.775663
JONES AVE & DELLWAY DR SB,McFERRIN,"(36.212017, -86.756818)",36.212017,-86.756818
MURFREESBORO PIKE & BLANTON AVE EB,MURFREESBORO PIKE,"(36.13829, -86.731189)",36.13829,-86.731189
CHURCH ST & 21ST AVE N WB,CHARLOTTE,"(36.152641, -86.802521)",36.152641,-86.802521
MONROE ST & 9TH AVE N WB,ST. CECILIA - CUMBERLAND,"(36.175028, -86.793418)",36.175028,-86.793418
WALMART,CHARLOTTE,"(36.132167, -86.906837)",36.132167,-86.906837
BROADWAY AVE & 12TH AVE EB,WEST END - WHITE BRIDGE,"(36.15665, -86.787086)",36.15665,-86.787086
N HYDES FERRY RD & ASHTON AVE WB,BORDEAUX,"(36.194374, -86.836645)",36.194374,-86.836645
E THOMPSON LN & CURREY RD NB,THOMPSON CONNECTOR,"(36.119019, -86.718415)",36.119019,-86.718415
RIVERSIDE DR & DORCHESTER AVE SB,SHELBY,"(36.198326, -86.723246)",36.198326,-86.723246
PLUS PARK STATION INBOUND,MURFREESBORO PIKE,"(36.134477, -86.722961)",36.134477,-86.722961
LAFAYETTE ST & FAIRFIELD AVE EB,MURFREESBORO PIKE,"(36.1473, -86.758053)",36.1473,-86.758053
CHICKASAW AVE & JONES AVE WB,McFERRIN,"(36.201098, -86.758248)",36.201098,-86.758248
THOMPSON LN & KRAFT DR WB,THOMPSON CONNECTOR,"(36.111538, -86.757605)",36.111538,-86.757605
HADLEY  AVE & N 11TH ST NB,OLD HICKORY,"(36.259675, -86.647693)",36.259675,-86.647693
MARRIOTT DR & 545 BUILDING NB,AIRPORT - DOWNTOWN HOTELS,"(36.150695, -86.690008)",36.150695,-86.690008
NORTH BOULEVARD CHURCH OF CHRIST PA,MURFREESBORO EXPRESS,"(35.860611, -86.351782)",35.860611,-86.351782
LEBANON PIKE & LEBANON PIKE CIR WB,LEBANON PIKE,"(36.153806, -86.718351)",36.153806,-86.718351
39TH AVE N & JOHN DRIVER BLVD SB,HERMAN,"(36.165677, -86.834337)",36.165677,-86.834337
8TH AVE S & DREXELL ST NB,BELMONT,"(36.152723, -86.779259)",36.152723,-86.779259
JO JOHNSON AVE & 16TH AVE EB,MIDTOWN,"(36.162151, -86.798059)",36.162151,-86.798059
EDMONDOSN PK & ELLINGTON CIRCLE NB,GRASSMERE-EDMONDSON CONNECTOR,"(36.060214, -86.740925)",36.060214,-86.740925
17TH AVE STATION INBOUND,CHARLOTTE,"(36.158718, -86.79822)",36.158718,-86.79822
HARRISON & 6TH AVE EAST NEARSIDE,MUSIC CITY BLUE CIRCUIT,"(36.169563, -86.786034)",36.169563,-86.786034
KINGS LN & TEMPLE CHURCH PARK-N-RIDE,BORDEAUX,"(36.217997, -86.843251)",36.217997,-86.843251
HWY 70 S & PERCY WARNER BLVD EB,WEST END - BELLEVUE,"(36.084593, -86.894624)",36.084593,-86.894624
VILLAGE TRL & BRICK CHURCH PIKE WB,DICKERSON ROAD,"(36.24761, -86.777996)",36.24761,-86.777996
PICCADILLY ROW & UNA ANTIOCH PIKE S,ANTIOCH EXPRESS,"(36.077503, -86.658045)",36.077503,-86.658045
RICHARD JONES & LONE OAK RD WB,BELMONT,"(36.104457, -86.809144)",36.104457,-86.809144
DR D.B. TODD JR BLVD & 17TH AVE NB,UNIVERSITY CONNECTOR,"(36.178287, -86.810246)",36.178287,-86.810246
MARTIN LUTHER KING SCHOOL,WEST END - WHITE BRIDGE,"(36.161008, -86.800851)",36.161008,-86.800851
FRENCH LANDING DR & VENTURE CIR NB,METROCENTER,"(36.194554, -86.796641)",36.194554,-86.796641
OLD HICKORY BLVD & DOUGLAS ST WB,MADISON EXPRESS,"(36.263403, -86.714489)",36.263403,-86.714489
10TH AVE S & PARIS AVE SB,12TH AVENUE SOUTH,"(36.121433, -86.786635)",36.121433,-86.786635
OLD HICKORY BLVD & GOODMORNING DR E,HICKORY HILLS,"(36.277338, -86.769987)",36.277338,-86.769987
ANDREW JACKSON PKWY & RACHELS VIEW NB,LEBANON PIKE,"(36.203505, -86.606656)",36.203505,-86.606656
JEFFERSON ST & I-40 EB,UNIVERSITY CONNECTOR,"(36.168496, -86.812965)",36.168496,-86.812965
12TH AVE S & SUMMIT AVE SB,12TH AVENUE SOUTH,"(36.138427, -86.787895)",36.138427,-86.787895
RECOVERY RD & HARDING PL EB,NOLENSVILLE PK BRT LITE,"(36.080212, -86.717898)",36.080212,-86.717898
TAYLOR ST & DELTA ST EB,BORDEAUX,"(36.176732, -86.794142)",36.176732,-86.794142
BELMONT BLVD & BERNARD AVE NB,BELMONT,"(36.131801, -86.79544)",36.131801,-86.79544
MOSSDALE DR & RURAL HILL RD NB,ANTIOCH EXPRESS,"(36.080272, -86.624372)",36.080272,-86.624372
S 19TH ST & LILLIAN ST NB,SHELBY,"(36.171492, -86.737189)",36.171492,-86.737189
CLARKSVILLE PIKE & S HAMILTON RD SB,BORDEAUX,"(36.193064, -86.830338)",36.193064,-86.830338
LEBANON PIKE & CENTRAL PK WB,LEBANON PIKE,"(36.187036, -86.63138)",36.187036,-86.63138
RIVERWOOD DR & EASTDALE PL WB,SCOTT,"(36.223049, -86.721138)",36.223049,-86.721138
5TH AVE N & GAY ST NB,100 OAKS,"(36.167822, -86.783106)",36.167822,-86.783106
EDGEHILL AVE & 15TH AVE S WB,MIDTOWN,"(36.14316, -86.790598)",36.14316,-86.790598
ELM HILL PIKE & FESSLERS LN WB,AIRPORT - DOWNTOWN HOTELS,"(36.144832, -86.745056)",36.144832,-86.745056
GALLATIN PIKE & EMMITT AVE NB,GALLATIN PIKE,"(36.252841, -86.716886)",36.252841,-86.716886
WOODLAND ST & S 8TH ST EB,SCOTT,"(36.174058, -86.758762)",36.174058,-86.758762
EASTLAND AVE & RIVERSIDE DR EB,SHELBY,"(36.181711, -86.725649)",36.181711,-86.725649
WHITES CREEK PIKE & DICKERSON PKSB,WHITES CREEK,"(36.18893, -86.773288)",36.18893,-86.773288
HARDING PL & WAUFORD DR WB,GRASSMERE-EDMONDSON CONNECTOR,"(36.080962, -86.751565)",36.080962,-86.751565
TRINITY HILLS PKWY & OLD MATTHEWS RD WB,GOLDEN VALLEY,"(36.211797, -86.78956)",36.211797,-86.78956
CHESAPEAKE DR & TRAILWAY CIR NB,DICKERSON ROAD,"(36.244252, -86.767609)",36.244252,-86.767609
LEBANON PIKE & LYNMEADE DR NB,LEBANON PIKE,"(36.161079, -86.701874)",36.161079,-86.701874
LEBANON PIKE & HICKORY HILL LN NB,LEBANON PIKE,"(36.190017, -86.62654)",36.190017,-86.62654
RIVERSIDE DR & EASTLAND AVE SB,SHELBY,"(36.181871, -86.725727)",36.181871,-86.725727
BELMONT BLVD & LINDEN AVE SB,BELMONT,"(36.127533, -86.794352)",36.127533,-86.794352
UNDERWOOD ST & 22ND AVE N WB,ST. CECILIA - CUMBERLAND,"(36.172407, -86.812201)",36.172407,-86.812201
S GALLATIN PIKE & WEST WEBSTER ST N,GALLATIN PIKE,"(36.251815, -86.717678)",36.251815,-86.717678
WEST END AVE & 31ST AVE S EB,WEST END - WHITE BRIDGE,"(36.143076, -86.814774)",36.143076,-86.814774
MUSIC VALLEY VILLAGE,OPRY MILLS,"(36.219176, -86.696413)",36.219176,-86.696413
DICKERSON PIKE & W TRINITY LN SB,DICKERSON ROAD,"(36.204144, -86.769144)",36.204144,-86.769144
LISCHEY AVE & MARSHALL ST NB,MERIDIAN,"(36.201065, -86.761941)",36.201065,-86.761941
PRESTON DR & ROSEBANK AVE SB,SHELBY,"(36.186796, -86.718127)",36.186796,-86.718127
CHESTNUT ST & 2ND AVE S EB,MIDTOWN,"(36.145658, -86.764782)",36.145658,-86.764782
ROYAL PKWY & PERIMETER PL EB,AIRPORT - DOWNTOWN HOTELS,"(36.148364, -86.674225)",36.148364,-86.674225
20TH AVE S & BROADWAY AVE NB,MIDTOWN,"(36.149954, -86.798191)",36.149954,-86.798191
OLD HICKORY BLVD & VALLEY VIEW RD EB,TUSCULUM - McMURRAY EXPRESS,"(36.040576, -86.771191)",36.040576,-86.771191
RIVERSIDE DR & HANOVER RD SB,SHELBY,"(36.20271, -86.722726)",36.20271,-86.722726
ADREE AVE & KENNEDY AVE EB,SCOTT,"(36.21553, -86.719966)",36.21553,-86.719966
SHELBY AVE & S 8TH ST EB,SHELBY,"(36.169855, -86.756272)",36.169855,-86.756272
LEBANON PIKE & CLOVERNOOK DR WB,LEBANON PIKE,"(36.154919, -86.712349)",36.154919,-86.712349
7TH AVE & UNION ST SB,100 OAKS,"(36.163822, -86.783791)",36.163822,-86.783791
MOUNT VIEW STATION INBOUND,MURFREESBORO PIKE,"(36.050198, -86.648198)",36.050198,-86.648198
16TH ST N & GARTLAND AVE NB,SHELBY,"(36.17886, -86.741594)",36.17886,-86.741594
12TH AVE S & DIVISION ST SB,BELMONT,"(36.150513, -86.784505)",36.150513,-86.784505
SAWYER BROWN RD & PLANTATION CT SB,WEST END - BELLEVUE,"(36.074926, -86.946082)",36.074926,-86.946082
PORTLAND AVE & BELMONT BLVD WB,BELMONT,"(36.133051, -86.797021)",36.133051,-86.797021
LEBANON PIKE & FAIRWAY DR EB,LEBANON PIKE,"(36.168884, -86.68186)",36.168884,-86.68186
DONELSON/DELL STATION INBOUND,MURFREESBORO PIKE,"(36.106276, -86.672801)",36.106276,-86.672801
MUSIC CITY STAR DONELSON STATION,LEBANON PIKE,"(36.166943, -86.666117)",36.166943,-86.666117
UNDERWOOD ST & 22ND AVE N WB,ST. CECILIA - CUMBERLAND,"(36.172576, -86.811312)",36.172576,-86.811312
DOMINICAN DR & FRENCH LANDING DR EB,METROCENTER,"(36.188385, -86.796403)",36.188385,-86.796403
THOMPSON LN & SEABOARD DR EB,THOMPSON CONNECTOR,"(36.111093, -86.74961)",36.111093,-86.74961
ROSEBANK AVE & PRESTON DR EB,SHELBY,"(36.186528, -86.718172)",36.186528,-86.718172
LEBANON PIKE & BONNA SPRING DR NB,LEBANON PIKE,"(36.195483, -86.621651)",36.195483,-86.621651
WALTON STATION OUTBOUND,GALLATIN PIKE,"(36.23881, -86.723842)",36.23881,-86.723842
MURFREESBORO PIKE & NOLAN DR NB,MURFREESBORO RELAX & RIDE,"(35.992096, -86.527094)",35.992096,-86.527094
BUCHANAN ST & CEPHAS ST WB,BORDEAUX,"(36.180312, -86.805546)",36.180312,-86.805546
FRENCH LANDING DR & ATHENS WAY  WB,METROCENTER,"(36.196326, -86.799109)",36.196326,-86.799109
21ST AVE S & EDGEHILL AVE SB,HILLSBORO,"(36.144284, -86.799849)",36.144284,-86.799849
BAPTIST WORLD CENTER DR. & HAYNES MEADE CIR NB,WHITES CREEK,"(36.202481, -86.788702)",36.202481,-86.788702
BELL RD & BELL CREST DR NB,MURFREESBORO PIKE,"(36.06309, -86.637378)",36.06309,-86.637378
LIPSCOMB UNIVERSITY,BELMONT,"(36.102449, -86.801488)",36.102449,-86.801488
31ST AVE N AND HEDRICK ST SB,UNIVERSITY CONNECTOR,"(36.143655, -86.816301)",36.143655,-86.816301
WEST END AVE & BOWLING AVE EB,WEST END - WHITE BRIDGE,"(36.13431, -86.825638)",36.13431,-86.825638
KENNEDY AVE & RIVERWOOD DR NB,SCOTT,"(36.220752, -86.715898)",36.220752,-86.715898
JEFFERSON ST & 12TH AVE N EB,MUSIC CITY BLUE CIRCUIT,"(36.171135, -86.79961)",36.171135,-86.79961
SILAS DR & OLD MATTHEWS RD SB,GOLDEN VALLEY,"(36.21652, -86.789628)",36.21652,-86.789628
HERMAN ST & WARREN ST WB,HERMAN,"(36.168499, -86.793355)",36.168499,-86.793355
CHARLOTTE AVE & 35TH AVE EB,CHARLOTTE,"(36.152735, -86.824891)",36.152735,-86.824891
BELL RD & LAKERIDGE PASS SB,ANTIOCH EXPRESS,"(36.145221, -86.626308)",36.145221,-86.626308
W. HAMILTON AVE & MALLARD DR EB,WHITES CREEK,"(36.216258, -86.822127)",36.216258,-86.822127
ALBION ST & 31ST AVE N WB,UNIVERSITY CONNECTOR,"(36.163717, -86.8235)",36.163717,-86.8235
TODD PREIS DR & SAWYER BROWN RD EB,WEST END - BELLEVUE,"(36.07089, -86.946694)",36.07089,-86.946694
APACHE TRL & PACKARD DR NB,TUSCULUM - McMURRAY EXPRESS,"(36.065058, -86.685745)",36.065058,-86.685745
DICKERSON PIKE & LUCILE ST NB,DICKERSON ROAD,"(36.196394, -86.771839)",36.196394,-86.771839
MARINA ST & HART AVE WB,McFERRIN,"(36.180445, -86.756145)",36.180445,-86.756145
N GALLATIN PIKE & ALTUS AVE NB,GALLATIN PIKE,"(36.291001, -86.703362)",36.291001,-86.703362
SHAKERTOWN RD & WINDSOR GREEN EB,ANTIOCH EXPRESS,"(36.078643, -86.59736)",36.078643,-86.59736
OLD HICKORY BLVD & PLANTATION DR NB,OLD HICKORY,"(36.200436, -86.620658)",36.200436,-86.620658
WEST END AVE & 16TH AVE S EB,WEST END - WHITE BRIDGE,"(36.154016, -86.793374)",36.154016,-86.793374
HWY 70 S & CROSS TIMBERS DR WB,WEST END - BELLEVUE,"(36.074147, -86.9351)",36.074147,-86.9351
BLAKEMORE AVE & 24TH AVE S EB,UNIVERSITY CONNECTOR,"(36.137997, -86.805062)",36.137997,-86.805062
LEBANON PIKE & HIGHLAND VIEW DR NB,LEBANON PIKE,"(36.208022, -86.611178)",36.208022,-86.611178
HUNTERS LN & DICKERSON PIKE EB,HICKORY HILLS,"(36.277749, -86.752571)",36.277749,-86.752571
HARDING PL & EZELL PK EB,NOLENSVILLE PK BRT LITE,"(36.089443, -86.688596)",36.089443,-86.688596
NOLENSVILLE PIKE & NORTHCREST DR NB,NOLENSVILLE PK BRT LITE,"(36.066627, -86.717745)",36.066627,-86.717745
SHACKLEFORD RD & EDEN AVE EB,BELMONT,"(36.101493, -86.804302)",36.101493,-86.804302
ANDERSON LN & PRIEST LAKE DR SB,ANTIOCH EXPRESS,"(36.103208, -86.603913)",36.103208,-86.603913
ELM HILL PIKE & ERMAC DR EB,AIRPORT - DOWNTOWN HOTELS,"(36.153273, -86.686932)",36.153273,-86.686932
GALLATIN PIKE & MADISON SQ SB,GALLATIN PIKE,"(36.255287, -86.715069)",36.255287,-86.715069
PATRICIA DR & KAREN DR NB,THOMPSON CONNECTOR,"(36.138973, -86.70577)",36.138973,-86.70577
EASTLAND STATION INBOUND,GALLATIN PIKE,"(36.183487, -86.748559)",36.183487,-86.748559
CHARLOTTE PIKE & WHITE BRIDGE PIKE,CHARLOTTE,"(36.150468, -86.856981)",36.150468,-86.856981
NEIL AVE & SMILEY ST NB,McFERRIN,"(36.179942, -86.759868)",36.179942,-86.759868
DEMONBREUN ST & 5 TH AVE WB,MUSIC CITY GREEN CIRCUIT,"(36.158491, -86.777072)",36.158491,-86.777072
UNA ANTIOCH PIKE & PEBBLE CREEK CR,ANTIOCH EXPRESS,"(36.073913, -86.663376)",36.073913,-86.663376
SR 45 & DELAWARE AVE EB,MADISON EXPRESS,"(36.263674, -86.705155)",36.263674,-86.705155
11TH AVE & CHURCH ST NB,12TH AVENUE SOUTH,"(36.159567, -86.788367)",36.159567,-86.788367
N GALLATIN PIKE & WILLIAMS AVE SB,GALLATIN PIKE,"(36.26699, -86.71097)",36.26699,-86.71097
WHITES CREEK PIKE & W NOCTURNE DR N,WHITES CREEK,"(36.211493, -86.797496)",36.211493,-86.797496
MASSMAN DR & APPLETON DR EB,AIRPORT - DOWNTOWN HOTELS,"(36.152706, -86.704406)",36.152706,-86.704406
21ST AVE & HERMOSA ST SB,HERMAN,"(36.163721, -86.80848)",36.163721,-86.80848
MCGAVOCK PIKE & GLENMEADE DR EB,SCOTT,"(36.203953, -86.726855)",36.203953,-86.726855
CHEYENNE BLVD & CHEYENNE TRACE NB,MADISON CONNECTOR,"(36.249581, -86.670072)",36.249581,-86.670072
SHELBY AVE & S 13TH ST WB,SHELBY,"(36.171022, -86.748329)",36.171022,-86.748329
THOMPSON STATION OUTBOUND,NOLENSVILLE PK BRT LITE,"(36.111844, -86.745821)",36.111844,-86.745821
HARDING PL & OVERCREST DR EB,GRASSMERE-EDMONDSON CONNECTOR,"(36.077048, -86.734152)",36.077048,-86.734152
W HAMILTON AVE & HAYNES PK EB,BORDEAUX,"(36.207544, -86.836351)",36.207544,-86.836351
JONES AVE & E TRINITY LN SB,McFERRIN,"(36.205178, -86.757741)",36.205178,-86.757741
GALLATIN PIKE & ALTUS AVE SB,GALLATIN PIKE,"(36.291074, -86.70352)",36.291074,-86.70352
BELL RD & MORRIS GENTRY BLVD SB,MURFREESBORO PIKE,"(36.064767, -86.637206)",36.064767,-86.637206
CHAPEL AVE & SHARPE AVE SB,SCOTT,"(36.187903, -86.737914)",36.187903,-86.737914
MURFREESBORO PIKE & TOWN PARK DR EB,MURFREESBORO PIKE,"(36.102964, -86.666093)",36.102964,-86.666093
AMERICAN STATION INBOUND,CHARLOTTE,"(36.144947, -86.871962)",36.144947,-86.871962
ELM HILL PIKE & AIR LANE DR WB,AIRPORT - DOWNTOWN HOTELS,"(36.145617, -86.706264)",36.145617,-86.706264
EDMONDSON PIKE & WHISPERING HILLS D,GRASSMERE-EDMONDSON CONNECTOR,"(36.073761, -86.731807)",36.073761,-86.731807
BUENA VISTA PIKE & W. HAMILTON AVE,WHITES CREEK,"(36.218154, -86.820468)",36.218154,-86.820468
JEFFERSON ST & 27TH AVE EB,UNIVERSITY CONNECTOR,"(36.167799, -86.818981)",36.167799,-86.818981
NW BROAD ST & MEMORIAL BLVD SB,MURFREESBORO RELAX & RIDE,"(35.850283, -86.399768)",35.850283,-86.399768
DICKERSON PIKE & HOMESTEAD RD SB,HICKORY HILLS,"(36.235483, -86.758315)",36.235483,-86.758315
10TH AVE S & CARRUTHERS AVE NB,12TH AVENUE SOUTH,"(36.125506, -86.786246)",36.125506,-86.786246
ARTS MAGNET SCHOOL,WHITES CREEK,"(36.132222, -86.74023)",36.132222,-86.74023
12TH AVE S & EDGEHILL AVE NB,12TH AVENUE SOUTH,"(36.142624, -86.786998)",36.142624,-86.786998
THOMPSON STATION INBOUND,MURFREESBORO PIKE,"(36.127172, -86.711441)",36.127172,-86.711441
MURFREESBORO PIKE & REBECCA WAY WB,SMYRNA - LA VERGNE EXPRESS,"(36.018361, -86.568116)",36.018361,-86.568116
DOVERSIDE DR & DICKERSON PIKE WB,DICKERSON ROAD,"(36.244027, -86.756751)",36.244027,-86.756751
CLARKSVILLE PIKE & 25TH AVE N WB,UNIVERSITY CONNECTOR,"(36.185506, -86.817082)",36.185506,-86.817082
OLD HICKORY BLVD & HWY 70S NB,BELLEVUE EXPRESS,"(36.075779, -86.920781)",36.075779,-86.920781
NOLENSVILLE PIKE & NORTHCREST DR SB,NOLENSVILLE PK BRT LITE,"(36.066936, -86.718231)",36.066936,-86.718231
N 14TH ST & SUMNER AVE NB,SCOTT,"(36.185745, -86.743947)",36.185745,-86.743947
ROSEBANK AVE & SHERIDAN RD SB,SHELBY,"(36.192586, -86.708898)",36.192586,-86.708898
PORTER RD & BRANCH ST NB,SHELBY,"(36.194256, -86.725595)",36.194256,-86.725595
40TH AVE N & CLIFTON AVE SB,HERMAN,"(36.158381, -86.834411)",36.158381,-86.834411
HARDING PIKE & LYNNWOOD BLVD WB,WEST END - BELLEVUE,"(36.121236, -86.852861)",36.121236,-86.852861
CHARLOTTE AVE & 9TH AVE N WB,BELLEVUE EXPRESS,"(36.164125, -86.786101)",36.164125,-86.786101
CLIFTON AVE & 40TH AVE N WB,HERMAN,"(36.157159, -86.834129)",36.157159,-86.834129
POWELL AVE & POWELL PL NB,100 OAKS,"(36.108232, -86.765569)",36.108232,-86.765569
GALLATIN PIKE & CAHAL AVE NB,GALLATIN PIKE,"(36.196495, -86.74228)",36.196495,-86.74228
PICCADILLY ROW & BLUE MOUNTIAN LN W,ANTIOCH EXPRESS,"(36.083986, -86.656587)",36.083986,-86.656587
MARTIN ST & HAMILTON AVE NB,100 OAKS,"(36.138623, -86.769706)",36.138623,-86.769706
SCOTT AVE & CHESTER AVE SB,SCOTT,"(36.194746, -86.732864)",36.194746,-86.732864
RICHARDS RD & ANTIOCH PIKE WB,ANTIOCH EXPRESS,"(36.069287, -86.683701)",36.069287,-86.683701
WEST END AVE & WILSON BLVD WB,WEST END - WHITE BRIDGE,"(36.131505, -86.834269)",36.131505,-86.834269
DOVERSIDE DR & EAGLEWOOD LN EB,DICKERSON ROAD,"(36.24119, -86.767902)",36.24119,-86.767902
GALLATIN PIKE & GILOCK ST SB,GALLATIN PIKE,"(36.214437, -86.73063)",36.214437,-86.73063
BOYD DR & BUENAVIEW BLVD NB,WHITES CREEK,"(36.227897, -86.827407)",36.227897,-86.827407
HILLSBORO PIKE & WOODMONT BLVD SB,HILLSBORO,"(36.114169, -86.811039)",36.114169,-86.811039
MAIN STREET STATION OUTBOUND,GALLATIN PIKE,"(36.175605, -86.757841)",36.175605,-86.757841
HWY 70 & FOREST PARK APARTMENTS EB,WEST END - BELLEVUE,"(36.077468, -86.91188)",36.077468,-86.91188
EWING DR & HILL HURST DR WB,DICKERSON ROAD,"(36.230269, -86.770885)",36.230269,-86.770885
PORTER RD & MCKENNIE AVE SB,SHELBY,"(36.189793, -86.728706)",36.189793,-86.728706
18TH AVE S & ACKLEN AVE SB,BELMONT,"(36.135158, -86.7971)",36.135158,-86.7971
LEBANON PIKE & BONNA SPRINGS DR SB,LEBANON PIKE,"(36.195357, -86.621937)",36.195357,-86.621937
HARDING PIKE & WOODLAWN DR EB,WEST END - WHITE BRIDGE,"(36.128439, -86.842138)",36.128439,-86.842138
MUSIC CITY STAR HERMITAGE STATION,LEBANON PIKE,"(36.190235, -86.60561)",36.190235,-86.60561
ELLISTON PL & 22ND AVE N WB,CHARLOTTE,"(36.151993, -86.80382)",36.151993,-86.80382
LEBANON PIKE & STONES RIVER RD WB,LEBANON PIKE,"(36.185434, -86.636695)",36.185434,-86.636695
ANDREW JACKSON PKWY & ANDREW JACKSON WAY EB,OLD HICKORY,"(36.186524, -86.608064)",36.186524,-86.608064
SHERIDAN RD & ROSEBANK AVE EB,SHELBY,"(36.192238, -86.708988)",36.192238,-86.708988
FERN AVE & BRICK CHURCH PK WB,WHITES CREEK,"(36.195725, -86.776665)",36.195725,-86.776665
BRANSFORD AVE & CRAIGHEAD ST SB,100 OAKS,"(36.126148, -86.766278)",36.126148,-86.766278
JO JOHNSTON AVE & FISK ST EB,MIDTOWN,"(36.16091, -86.800784)",36.16091,-86.800784
JEFFERSON ST & 4TH AVE EB,GOLDEN VALLEY,"(36.174489, -86.786321)",36.174489,-86.786321
COUNTY HOSPITAL RD & DOAK AVE NB,BORDEAUX,"(36.191285, -86.835779)",36.191285,-86.835779
6TH AVE N & COMMERCE ST SB,WEST END - WHITE BRIDGE,"(36.161447, -86.780728)",36.161447,-86.780728
DOLLAR GENERAL PARK-N-RIDE,TUSCULUM - McMURRAY EXPRESS,"(36.049576, -86.713934)",36.049576,-86.713934
HARDING PIKE & ST. THOMAS HOSPITAL,WEST END - WHITE BRIDGE,"(36.128612, -86.842089)",36.128612,-86.842089
KINGS LN & MEADOW HILL DR EB,WHITES CREEK,"(36.220147, -86.825067)",36.220147,-86.825067
PICADILLY ROW & ORCHARD MOUNTAIN CT WB,ANTIOCH EXPRESS,"(36.082537, -86.652286)",36.082537,-86.652286
EDMONDSON PIKE & WHISPERING HILLS D,GRASSMERE-EDMONDSON CONNECTOR,"(36.074087, -86.731757)",36.074087,-86.731757
CHAROLTTE AVE & BROOKHOLLOW RD SB,CHARLOTTE,"(36.13583, -86.885179)",36.13583,-86.885179
GREYHOUND STATION - LAFAYETTE ST & 5TH AVE S,MURFREESBORO EXPRESS,"(36.152481, -86.773315)",36.152481,-86.773315
TROUSDALE DR & GRASMERE PARK SB,GRASSMERE-EDMONDSON CONNECTOR,"(36.088347, -86.751842)",36.088347,-86.751842
BRANSFORD AVE & CRAIGHEAD ST NB,100 OAKS,"(36.12615, -86.765965)",36.12615,-86.765965
WOODLAND ST & S 5TH ST WB,SCOTT,"(36.171969, -86.764564)",36.171969,-86.764564
OLD HICKORY BLVD & BRENTWOOD CHASE,TUSCULUM - McMURRAY EXPRESS,"(36.03968, -86.755692)",36.03968,-86.755692
MONTGOMERY AVE & WARD ST NB,McFERRIN,"(36.198195, -86.754837)",36.198195,-86.754837
DICKERSON PIKE & ROCK ST SB,DICKERSON ROAD,"(36.213706, -86.764598)",36.213706,-86.764598
HILLSBORO PIKE & RICHARD JONES RD S,BELMONT,"(36.10454, -86.814989)",36.10454,-86.814989
8TH AVE N & MONROE ST SB,BORDEAUX,"(36.175428, -86.792952)",36.175428,-86.792952
BELL RD & HICKORY HOLLOW LN WB,MURFREESBORO PIKE,"(36.049469, -86.65147)",36.049469,-86.65147
BROADWAY AVE & 2ND AVE N WB,LEBANON PIKE,"(36.161991, -86.775075)",36.161991,-86.775075
MANZANO RD & FAWN LN WB,MADISON CONNECTOR,"(36.257808, -86.681733)",36.257808,-86.681733
