ATV_Involved (group),Agency,Agency_Name,Display Sheet,Road_Type,Land_Use,Hour_STR,Latitude_adj,Longitude_adj,View_Dashboard,YTD_0,YTD_1,YTD_2,SUM([Injury]+[Fatality]),Item,SortBy,GIS,Parent,Crash_Desc,Route_adj,tip,Show_on_Map,Collision_Time_adj,Collision_Date_Tooltip,Tooltip_DriverAge,Collision_DOW,Tooltip_DriverFactor,Tooltip_Vehicle,Tooltip_NM,FixTotalRecs,City,Collision_Date,County,Crash_Type (group),Crash_Type,Distracted_Driver (group),Driver_Drinking (group),Driver_Drugged (group),Drowsy_Driver (group),Fatality,First_Harmfu_Event (group),Injury,LargeTruck_Involved (group),Latitude,Light_Condition (group),Longitude,MRN,Motorcycle_Involved (group),Number of Records,Other_Nonmotorist,Pedalcyclist,Pedestrian,SchoolBus,Senior (65-99) (group),Speeding_Involved (group),THPInv,THP_District,Teen (13-19) (group),Unbelted (group),Weather (group)
Null & -,THP District 2 - Chattanooga,THP District 2 - Chattanooga,1,State Road,Urban,16,35.02972,-84.38516,View Dashboard,1,0,0,2,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (2 injury/ies), SR-40,?,1,16:30,"Sunday, June 2, 2019 @ 16:30",Senior (65-99),Sunday,Unbelted Occupant,Motorcycle,None,1,Ducktown,6/2/2019 4:30:00 PM,Polk,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Motor Vehicle-In-Transport On Same Roadway,2,Null & -,35.02972,Daylight,-84.38516,102408732,Motorcyclist Involved,1,-,-,-,-,Senior Driver (65-99),Null & -,THP,2-Chattanooga,Null & -,Unbelted Occupant,Clear
Null & -,POLK CO SHERIFFS DEPT,POLK CO SHERIFFS DEPT,1,Other,Rural,16,35.0807,-84.48953,View Dashboard,1,0,0,1,Embankment Earth,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies),HIGHWAY 64 ,?,1,16:40,"Saturday, September 28, 2019 @ 16:40",Senior (65-99),Saturday,Unbelted Occupant,None,None,1, Not in a City,9/28/2019 4:40:00 PM,Polk,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Embankment Earth,1,Null & -,35.0807,Daylight,-84.48953,102524363,Null & -,1,-,-,-,-,Senior Driver (65-99),Null & -,Other,2-Chattanooga,Null & -,Unbelted Occupant,Clear
Null & -,THP District 2 - Chattanooga,THP District 2 - Chattanooga,1,State Road,Rural,15,35.09899,-84.60841,View Dashboard,1,0,0,1,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies), SR-40,?,1,15:10,"Friday, May 24, 2019 @ 15:10",Senior (65-99),Friday,Unbelted Occupant,Motorcycle,None,1, Not in a City,5/24/2019 3:10:00 PM,Polk,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Motor Vehicle-In-Transport On Same Roadway,1,Null & -,35.09899,Daylight,-84.60841,102399469,Motorcyclist Involved,1,-,-,-,-,Senior Driver (65-99),Null & -,THP,2-Chattanooga,Null & -,Unbelted Occupant,Clear
Null & -,THP District 2 - Chattanooga,THP District 2 - Chattanooga,1,State Road,Rural, 5,35.09852,-84.65098,View Dashboard,1,0,0,1,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies), SR-40,?,1, 5:55,"Sunday, January 13, 2019 @  5:55",Senior (65-99),Sunday,Driver Used Drug,None,None,1, Not in a City,1/13/2019 5:55:00 AM,Polk,Serious Injury,Serious Injury,Null & -,Null & -,Driver has used Drugs,Null & -,0,Motor Vehicle-In-Transport On Same Roadway,1,Null & -,35.09852,Dark-Not Lighted,-84.65098,102275797,Null & -,1,-,-,-,-,Senior Driver (65-99),Null & -,THP,2-Chattanooga,Null & -,Null & -,Rain
Null & -,THP District 2 - Chattanooga,THP District 2 - Chattanooga,1,Other,Urban,13,35.1728,-84.6465,View Dashboard,1,0,0,1,Pedestrian,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies),PARKSVILLE RD ,?,1,13:35,"Monday, November 18, 2019 @ 13:35",None,Monday,None,None,Pedestrian,1,Benton,11/18/2019 1:35:00 PM,Polk,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Pedestrian,1,Null & -,35.1728,Daylight,-84.6465,102573641,Null & -,1,-,-,Pedestrian Involved,-,Null & -,Null & -,THP,2-Chattanooga,Null & -,Null & -,Clear
Null & -,THP District 2 - Chattanooga,THP District 2 - Chattanooga,1,Other,Rural, 9,35.22302,-84.52249,View Dashboard,1,0,0,1,Embankment Earth,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies),SPRING CREEK RD,?,1, 9:20,"Wednesday, September 25, 2019 @  9:20",None,Wednesday,Speeding,None,None,1, Not in a City,9/25/2019 9:20:00 AM,Polk,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Embankment Earth,1,Null & -,35.22302,Daylight,-84.52249,102521716,Null & -,1,-,-,-,-,Null & -,Speeding Driver,THP,2-Chattanooga,Null & -,Null & -,Clear
Null & -,THP District 2 - Chattanooga,THP District 2 - Chattanooga,1,Other,Rural,13,35.05478,-84.73098,View Dashboard,1,0,0,1,Bridge/Pier Abutment,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies),OLD FEDERAL RD,?,1,13:50,"Wednesday, July 24, 2019 @ 13:50",None,Wednesday,"Distracted Driver, Unbelted Occupant",None,None,1, Not in a City,7/24/2019 1:50:00 PM,Polk,Serious Injury,Serious Injury,Distracted Driver,Null & -,Null & -,Null & -,0,Bridge/Pier Abutment,1,Null & -,35.05478,Daylight,-84.73098,102470027,Null & -,1,-,-,-,-,Null & -,Null & -,THP,2-Chattanooga,Null & -,Unbelted Occupant,Clear
Null & -,THP District 2 - Chattanooga,THP District 2 - Chattanooga,1,State Road,Rural, 9,35.071,-84.73402,View Dashboard,1,0,0,1,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies), SR-33,?,1, 9:38,"Wednesday, May 8, 2019 @  9:38",None,Wednesday,None,None,None,1, Not in a City,5/8/2019 9:38:00 AM,Polk,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Motor Vehicle-In-Transport On Same Roadway,1,Null & -,35.071,Daylight,-84.73402,102384229,Null & -,1,-,-,-,-,Null & -,Null & -,THP,2-Chattanooga,Null & -,Null & -,Clear
Null & -,THP District 2 - Chattanooga,THP District 2 - Chattanooga,1,State Road,Rural,18,35.11742,-84.35743,View Dashboard,1,0,0,1,Standing Tree,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies), SR-68,?,1,18:43,"Tuesday, September 3, 2019 @ 18:43",None,Tuesday,"Drunk Driver, Driver Used Drug, Speeding, Unbelted Occupant",None,None,1, Not in a City,9/3/2019 6:43:00 PM,Polk,Serious Injury,Serious Injury,Null & -,Drinking Driver,Driver has used Drugs,Null & -,0,Standing Tree,1,Null & -,35.11742,Daylight,-84.35743,102510631,Null & -,1,-,-,-,-,Null & -,Speeding Driver,THP,2-Chattanooga,Null & -,Unbelted Occupant,Clear
Null & -,POLK CO SHERIFFS DEPT,POLK CO SHERIFFS DEPT,1,Other,Rural,15,34.98805,-84.40372,View Dashboard,1,0,0,1,"Over Turn, Roll Over",1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies),MOBILE RD,?,1,15:00,"Sunday, September 22, 2019 @ 15:00",None,Sunday,Unbelted Occupant,Motorcycle,None,1, Not in a City,9/22/2019 3:00:00 PM,Polk,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,"Over Turn, Roll Over",1,Null & -,34.98805,Daylight,-84.40372,102517030,Motorcyclist Involved,1,-,-,-,-,Null & -,Null & -,Other,2-Chattanooga,Null & -,Unbelted Occupant,Clear
Null & -,THP District 2 - Chattanooga,THP District 2 - Chattanooga,1,State Road,Rural,12,35.22792,-84.55399,View Dashboard,1,0,0,1,Ditch,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies), SR-30,?,1,12:45,"Sunday, May 19, 2019 @ 12:45",None,Sunday,Unbelted Occupant,Motorcycle,None,1, Not in a City,5/19/2019 12:45:00 PM,Polk,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Ditch,1,Null & -,35.22792,Daylight,-84.55399,102400003,Motorcyclist Involved,1,-,-,-,-,Null & -,Null & -,THP,2-Chattanooga,Null & -,Unbelted Occupant,Clear
Null & -,THP District 2 - Chattanooga,THP District 2 - Chattanooga,1,State Road,Rural,13,35.12598,-84.71771,View Dashboard,1,0,0,4,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (4 injury/ies), SR-33,?,1,13:18,"Saturday, August 3, 2019 @ 13:18",None,Saturday,Unbelted Occupant,None,None,1, Not in a City,8/3/2019 1:18:00 PM,Polk,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Motor Vehicle-In-Transport On Same Roadway,4,Null & -,35.12598,Daylight,-84.71771,102467492,Null & -,1,-,-,-,-,Null & -,Null & -,THP,2-Chattanooga,Null & -,Unbelted Occupant,Clear
Null & -,POLK CO SHERIFFS DEPT,POLK CO SHERIFFS DEPT,1,State Road,Rural,14,35.16579,-84.31044,View Dashboard,1,0,0,2,Embankment Earth,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (2 injury/ies), SR-68,?,1,14:20,"Saturday, April 6, 2019 @ 14:20",None,Saturday,Unbelted Occupant,Motorcycle,None,1, Not in a City,4/6/2019 2:20:00 PM,Polk,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Embankment Earth,2,Null & -,35.16579,Daylight,-84.31044,102352865,Motorcyclist Involved,1,-,-,-,-,Null & -,Null & -,Other,2-Chattanooga,Null & -,Unbelted Occupant,Clear
Null & -,THP District 2 - Chattanooga,THP District 2 - Chattanooga,1,Other,Rural,11,35.123,-84.6171,View Dashboard,1,0,0,2,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (2 injury/ies),OSWALD RD,?,1,11:10,"Monday, May 27, 2019 @ 11:10",None,Monday,Unbelted Occupant,Motorcycle,None,1, Not in a City,5/27/2019 11:10:00 AM,Polk,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Motor Vehicle-In-Transport On Same Roadway,2,Null & -,35.123,Daylight,-84.6171,102402525,Motorcyclist Involved,1,-,-,-,-,Null & -,Null & -,THP,2-Chattanooga,Null & -,Unbelted Occupant,Clear
Null & -,POLK CO SHERIFFS DEPT,POLK CO SHERIFFS DEPT,1,Other,Rural,Un,35.02378,-84.33082,View Dashboard,1,0,0,1,Other Non-Collision,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies),ISABELLA AV,?,1,Unknown,"Monday, March 18, 2019 @ Unknown",None,Monday,Unbelted Occupant,Motorcycle,None,1, Not in a City,3/18/2019 12:00:00 AM,Polk,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Other Non-Collision,1,Null & -,35.02378,Daylight,-84.33082,102334751,Motorcyclist Involved,1,-,-,-,-,Null & -,Null & -,Other,2-Chattanooga,Null & -,Unbelted Occupant,Clear
Null & -,THP District 2 - Chattanooga,THP District 2 - Chattanooga,1,Other,Rural,17,35.16513,-84.63057,View Dashboard,1,0,0,1,Standing Tree,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies),OAK GROVE RD,?,1,17:22,"Friday, July 12, 2019 @ 17:22",None,Friday,Drunk Driver,None,None,1, Not in a City,7/12/2019 5:22:00 PM,Polk,Serious Injury,Serious Injury,Null & -,Drinking Driver,Null & -,Null & -,0,Standing Tree,1,Null & -,35.16513,Daylight,-84.63057,102445838,Null & -,1,-,-,-,-,Null & -,Null & -,THP,2-Chattanooga,Null & -,Null & -,Clear
Null & -,THP District 2 - Chattanooga,THP District 2 - Chattanooga,1,Other,Rural,19,35.13355,-84.67237,View Dashboard,1,0,0,1,Highway Traffic Sign Post,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies),WELCOME VALLEY RD,?,1,19:40,"Friday, August 16, 2019 @ 19:40",None,Friday,"Drunk Driver, Speeding, Unbelted Occupant",Motorcycle,None,1, Not in a City,8/16/2019 7:40:00 PM,Polk,Serious Injury,Serious Injury,Null & -,Drinking Driver,Null & -,Null & -,0,Highway Traffic Sign Post,1,Null & -,35.13355,Daylight,-84.67237,102480664,Motorcyclist Involved,1,-,-,-,-,Null & -,Speeding Driver,THP,2-Chattanooga,Null & -,Unbelted Occupant,Clear
Null & -,THP District 2 - Chattanooga,THP District 2 - Chattanooga,1,State Road,Rural,17,35.11304,-84.57952,View Dashboard,1,0,0,2,Ditch,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (2 injury/ies), SR-40,?,1,17:28,"Friday, June 14, 2019 @ 17:28",None,Friday,Unbelted Occupant,Motorcycle,None,1, Not in a City,6/14/2019 5:28:00 PM,Polk,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Ditch,2,Null & -,35.11304,Daylight,-84.57952,102420791,Motorcyclist Involved,1,-,-,-,-,Null & -,Null & -,THP,2-Chattanooga,Null & -,Unbelted Occupant,Clear
Null & -,POLK CO SHERIFFS DEPT,POLK CO SHERIFFS DEPT,1,Other,Rural, 4,35.05853,-84.3891,View Dashboard,1,0,0,1,Utility Pole,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies),PARKS DR,?,1, 4:29,"Wednesday, March 27, 2019 @  4:29",None,Wednesday,Unbelted Occupant,None,None,1, Not in a City,3/27/2019 4:29:00 AM,Polk,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Utility Pole,1,Null & -,35.05853,Dark-Not Lighted,-84.3891,102343790,Null & -,1,-,-,-,-,Null & -,Null & -,Other,2-Chattanooga,Null & -,Unbelted Occupant,Clear
Null & -,THP District 2 - Chattanooga,THP District 2 - Chattanooga,1,State Road,Rural, 5,35.08328,-84.49159,View Dashboard,1,0,0,1,Embankment Earth,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies), SR-40,?,1, 5:46,"Wednesday, May 1, 2019 @  5:46",None,Wednesday,Unbelted Occupant,Large Truck,None,1, Not in a City,5/1/2019 5:46:00 AM,Polk,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Embankment Earth,1,Large Truck Involved,35.08328,Dark-Not Lighted,-84.49159,102378531,Null & -,1,-,-,-,-,Null & -,Null & -,THP,2-Chattanooga,Null & -,Unbelted Occupant,Clear
Null & -,THP District 2 - Chattanooga,THP District 2 - Chattanooga,1,Other,Rural, 4,35.1059,-84.6121,View Dashboard,1,0,0,2,Embankment Rock/Stone/Concrete,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (2 injury/ies),OSWALD RD,?,1, 4:25,"Thursday, May 16, 2019 @  4:25",None,Thursday,Drunk Driver,None,None,1, Not in a City,5/16/2019 4:25:00 AM,Polk,Serious Injury,Serious Injury,Null & -,Drinking Driver,Null & -,Null & -,0,Embankment Rock/Stone/Concrete,2,Null & -,35.1059,Dark-Not Lighted,-84.6121,102397682,Null & -,1,-,-,-,-,Null & -,Null & -,THP,2-Chattanooga,Null & -,Null & -,Clear
Null & -,THP District 2 - Chattanooga,THP District 2 - Chattanooga,1,Other,Rural,20,35.18996,-84.49839,View Dashboard,1,0,0,2,Standing Tree,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (2 injury/ies),CHILDERS CREEK RD,?,1,20:50,"Friday, May 24, 2019 @ 20:50",None,Friday,Drunk Driver,None,None,1, Not in a City,5/24/2019 8:50:00 PM,Polk,Serious Injury,Serious Injury,Null & -,Drinking Driver,Null & -,Null & -,0,Standing Tree,2,Null & -,35.18996,Dark-Not Lighted,-84.49839,102400243,Null & -,1,-,-,-,-,Null & -,Null & -,THP,2-Chattanooga,Null & -,Null & -,Clear
Null & -,THP District 2 - Chattanooga,THP District 2 - Chattanooga,1,State Road,Rural,13,35.14793,-84.64008,View Dashboard,1,0,0,3,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,"Fatal (1 fatality/ies, 2 injury/ies)", SR-314,?,1,13:47,"Tuesday, January 8, 2019 @ 13:47",Senior (65-99),Tuesday,"Driver Used Drug, Unbelted Occupant",None,None,1, Not in a City,1/8/2019 1:47:00 PM,Polk,Fatal,Fatal,Null & -,Null & -,Driver has used Drugs,Null & -,1,Motor Vehicle-In-Transport On Same Roadway,2,Null & -,35.14793,Daylight,-84.64008,102274998,Null & -,1,-,-,-,-,Senior Driver (65-99),Null & -,THP,2-Chattanooga,Null & -,Unbelted Occupant,Cloudy
Null & -,THP District 2 - Chattanooga,THP District 2 - Chattanooga,1,State Road,Rural,14,35.11208,-84.58653,View Dashboard,1,0,0,1,Immersion,1,:: Public Safety Maps,:: Crash Data Reports,"Fatal (1 fatality/ies, 0 injury/ies)", SR-40,?,1,14:18,"Monday, July 1, 2019 @ 14:18",None,Monday,None,None,None,1, Not in a City,7/1/2019 2:18:00 PM,Polk,Fatal,Fatal,Null & -,Null & -,Null & -,Null & -,1,Immersion,0,Null & -,35.11208,Daylight,-84.58653,102435276,Null & -,1,-,-,-,-,Null & -,Null & -,THP,2-Chattanooga,Null & -,Null & -,Clear
Null & -,THP District 2 - Chattanooga,THP District 2 - Chattanooga,1,Other,Rural,21,35.00696,-84.70153,View Dashboard,1,0,0,1,"Over Turn, Roll Over",1,:: Public Safety Maps,:: Crash Data Reports,"Fatal (1 fatality/ies, 0 injury/ies)",J WILSON RD,?,1,21:30,"Tuesday, July 9, 2019 @ 21:30",None,Tuesday,Unbelted Occupant,Motorcycle,None,1, Not in a City,7/9/2019 9:30:00 PM,Polk,Fatal,Fatal,Null & -,Null & -,Null & -,Null & -,1,"Over Turn, Roll Over",0,Null & -,35.00696,Dark-Unknown Lighting,-84.70153,102445760,Motorcyclist Involved,1,-,-,-,-,Null & -,Null & -,THP,2-Chattanooga,Null & -,Unbelted Occupant,Clear
Null & -,THP District 2 - Chattanooga,THP District 2 - Chattanooga,1,Other,Urban,Un,35.00521,-84.35267,View Dashboard,1,0,0,1,Ditch,1,:: Public Safety Maps,:: Crash Data Reports,"Fatal (1 fatality/ies, 0 injury/ies)",BELLTOWN RD,?,1,Unknown,"Monday, February 11, 2019 @ Unknown",None,Monday,"Drunk Driver, Speeding, Unbelted Occupant",None,None,1,Copperhill,2/11/2019 12:00:00 AM,Polk,Fatal,Fatal,Null & -,Drinking Driver,Null & -,Null & -,1,Ditch,0,Null & -,35.00521,Dark-Not Lighted,-84.35267,102307283,Null & -,1,-,-,-,-,Null & -,Speeding Driver,THP,2-Chattanooga,Null & -,Unbelted Occupant,Rain
Null & -,THP District 2 - Chattanooga,THP District 2 - Chattanooga,1,Other,Rural,12,35.53478,-84.90617,View Dashboard,1,0,0,1,Pedestrian,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies),OLD WASHINGTON HWY,?,1,12:35,"Sunday, November 10, 2019 @ 12:35",Senior (65-99),Sunday,None,None,Pedestrian,1, Not in a City,11/10/2019 12:35:00 PM,Rhea,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Pedestrian,1,Null & -,35.53478,Daylight,-84.90617,102570162,Null & -,1,-,-,Pedestrian Involved,-,Senior Driver (65-99),Null & -,THP,2-Chattanooga,Null & -,Null & -,Clear
Null & -,THP District 2 - Chattanooga,THP District 2 - Chattanooga,1,Other,Urban,13,35.44664,-85.0801,View Dashboard,1,0,0,2,Building,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (2 injury/ies),DAYTON AVE ,?,1,13:46,"Friday, May 31, 2019 @ 13:46",Senior (65-99),Friday,None,None,Other,1,Graysville,5/31/2019 1:46:00 PM,Rhea,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Building,2,Null & -,35.44664,Daylight,-85.0801,102407548,Null & -,1,Other Non-Motorist Involved,-,-,-,Senior Driver (65-99),Null & -,THP,2-Chattanooga,Null & -,Null & -,Clear
Null & -,THP District 2 - Chattanooga,THP District 2 - Chattanooga,1,State Road,Rural,15,35.52181,-84.9222,View Dashboard,1,0,0,2,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (2 injury/ies), SR-30,?,1,15:40,"Tuesday, June 25, 2019 @ 15:40",Senior (65-99),Tuesday,Unbelted Occupant,None,None,1, Not in a City,6/25/2019 3:40:00 PM,Rhea,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Motor Vehicle-In-Transport On Same Roadway,2,Null & -,35.52181,Daylight,-84.9222,102436199,Null & -,1,-,-,-,-,Senior Driver (65-99),Null & -,THP,2-Chattanooga,Null & -,Unbelted Occupant,Clear
Null & -,DAYTON POLICE DEPT,DAYTON POLICE DEPT,1,State Road,Rural,13,35.45957,-85.04685,View Dashboard,1,0,0,2,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (2 injury/ies), SR-29,?,1,13:27,"Tuesday, February 5, 2019 @ 13:27",Senior (65-99),Tuesday,None,None,None,1, Not in a City,2/5/2019 1:27:00 PM,Rhea,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Motor Vehicle-In-Transport On Same Roadway,2,Null & -,35.45957,Daylight,-85.04685,102302137,Null & -,1,-,-,-,-,Senior Driver (65-99),Null & -,Other,2-Chattanooga,Null & -,Null & -,Clear
Null & -,THP District 2 - Chattanooga,THP District 2 - Chattanooga,1,State Road,Rural,15,35.64791,-84.89042,View Dashboard,1,0,0,6,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (6 injury/ies), SR-29,?,1,15:30,"Monday, May 6, 2019 @ 15:30",Senior (65-99),Monday,Unbelted Occupant,None,None,1, Not in a City,5/6/2019 3:30:00 PM,Rhea,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Motor Vehicle-In-Transport On Same Roadway,6,Null & -,35.64791,Daylight,-84.89042,102384786,Null & -,1,-,-,-,-,Senior Driver (65-99),Null & -,THP,2-Chattanooga,Null & -,Unbelted Occupant,Clear
Null & -,DAYTON POLICE DEPT,DAYTON POLICE DEPT,1,Other,Urban,Un,35.47776,-85.02654,View Dashboard,1,0,0,1,Pedestrian,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies),ABLE DR,?,1,Unknown,"Saturday, March 23, 2019 @ Unknown",None,Saturday,Unbelted Occupant,None,Pedestrian,1,Dayton,3/23/2019 12:00:00 AM,Rhea,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Pedestrian,1,Null & -,35.47776,Dark-Not Lighted,-85.02654,102351960,Null & -,1,-,-,Pedestrian Involved,-,Null & -,Null & -,Other,2-Chattanooga,Null & -,Unbelted Occupant,Clear
Null & -,THP District 2 - Chattanooga,THP District 2 - Chattanooga,1,Other,Urban,20,35.47696,-85.01075,View Dashboard,1,0,0,1,Culvert,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies),BLYTHE FERRY RD,?,1,20:20,"Tuesday, August 6, 2019 @ 20:20",None,Tuesday,"Drunk Driver, Speeding, Unbelted Occupant",None,None,1,Dayton,8/6/2019 8:20:00 PM,Rhea,Serious Injury,Serious Injury,Null & -,Drinking Driver,Null & -,Null & -,0,Culvert,1,Null & -,35.47696,Dusk,-85.01075,102476743,Null & -,1,-,-,-,-,Null & -,Speeding Driver,THP,2-Chattanooga,Null & -,Unbelted Occupant,Clear
Null & -,DAYTON POLICE DEPT,DAYTON POLICE DEPT,1,State Road,Urban,14,35.51609,-84.99833,View Dashboard,1,0,0,1,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies), SR-29,?,1,14:10,"Tuesday, May 28, 2019 @ 14:10",None,Tuesday,None,None,None,1,Dayton,5/28/2019 2:10:00 PM,Rhea,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Motor Vehicle-In-Transport On Same Roadway,1,Null & -,35.51609,Daylight,-84.99833,102415890,Null & -,1,-,-,-,-,Null & -,Null & -,Other,2-Chattanooga,Null & -,Null & -,Clear
Null & -,RHEA CO SHERIFFS DEPT,RHEA CO SHERIFFS DEPT,1,State Road,Rural,15,35.5991,-84.92423,View Dashboard,1,0,0,3,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (3 injury/ies), SR-29,?,1,15:40,"Sunday, May 12, 2019 @ 15:40",None,Sunday,Unbelted Occupant,None,None,1, Not in a City,5/12/2019 3:40:00 PM,Rhea,Serious Injury,Serious Injury,Null & -,Null & -,Null & -,Null & -,0,Motor Vehicle-In-Transport On Same Roadway,3,Null & -,35.5991,Daylight,-84.92423,102389616,Null & -,1,-,-,-,-,Null & -,Null & -,Other,2-Chattanooga,Null & -,Unbelted Occupant,Cloudy
Null & -,THP District 2 - Chattanooga,THP District 2 - Chattanooga,1,State Road,Rural,15,35.51615,-85.0839,View Dashboard,1,0,0,1,"Over Turn, Roll Over",1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (1 injury/ies), SR-443,?,1,15:31,"Sunday, September 22, 2019 @ 15:31",None,Sunday,"Drunk Driver, Driver Used Drug, Unbelted Occupant",None,None,1, Not in a City,9/22/2019 3:31:00 PM,Rhea,Serious Injury,Serious Injury,Null & -,Drinking Driver,Driver has used Drugs,Null & -,0,"Over Turn, Roll Over",1,Null & -,35.51615,Daylight,-85.0839,102524799,Null & -,1,-,-,-,-,Null & -,Null & -,THP,2-Chattanooga,Null & -,Unbelted Occupant,Clear
Null & -,DAYTON POLICE DEPT,DAYTON POLICE DEPT,1,State Road,Urban,19,35.4689,-85.03659,View Dashboard,1,0,0,2,Motor Vehicle-In-Transport On Same Roadway,1,:: Public Safety Maps,:: Crash Data Reports,Suspected Serious Injury (2 injury/ies), SR-29,?,1,19:34,"Saturday, April 6, 2019 @ 19:34",None,Saturday,"Drunk Driver, Driver Used Drug, Speeding",None,None,1,Dayton,4/6/2019 7:34:00 PM,Rhea,Serious Injury,Serious Injury,Null & -,Drinking Driver,Driver has used Drugs,Null & -,0,Motor Vehicle-In-Transport On Same Roadway,2,Null & -,35.4689,Daylight,-85.03659,102353258,Null & -,1,-,-,-,-,Null & -,Speeding Driver,Other,2-Chattanooga,Null & -,Null & -,Clear
