Area Designation Cde,City,Crash Comments,Collision Date,CY Fatal Crashes,Latitude in Date Range,CY Fatalities,Placeholder,Invalid Lat Long - Crash in Date Range,Collision Dte,Collision Id,Collision Time Txt,County Name,Date Deleted,DEL,Date Range Collision Date,Date Range Fatal Crashes,Early Notification Type,Fatal Case Nbr Txt,ID,Intersect Road Name Suffix Txt,Intersect Road Name Txt,Intersect Road Nbr Txt,Invalid Lat Long - Fatality in Date Range,DateDiffTest,Crash Latitude,Longitude in Date Range,Crash Longitude,Master Record Number,Mile Mark Nmb,Mstr Rec Nbr Txt,Person Type,Rdwy Name Suffix Txt,Rdwy Name Txt,Rdwy Nbr Txt,Relation To Road Cde,Rollover Ind,Route Signing Cde,State Fatal #,School Bus Cde,Speed Ind,THP District,TK or BUS INV,Date Range Fatalities
00,NASHVILLE,,9/19/2016 12:00:00 AM,1,36.1708,1,1,0,9/19/2016 12:08:00 AM,540157F8-A5B5-11E6-98ED-0050568862A8,00:08,Davidson,,N,9/19/2016 12:00:00 AM,1,Email,16-0671,FA358650-CD86-4E69-8610-A118570FAC2D,,,,0,627,36.1708,-86.80451,-86.80451,101386888,207.6,101386888,PED,,I 40,,01,N,01,16-0671,00,,03,T,1
00,NA,,9/22/2016 12:00:00 AM,1,36.44064,1,1,0,9/22/2016 11:04:00 AM,BB4FA063-636D-11E7-8E93-0050568862A8,11:04,Robertson,,N,9/22/2016 12:00:00 AM,1,Par,16-0723,B205998E-61FB-4883-8C05-616C11EDB122,,,,0,630,36.44064,-87.08443,-87.08443,101392192,20.25,101392192,DRIVER,,I 24,,01,N,01,16-0723,00,,03,T,1
00,NA,,10/1/2016 12:00:00 AM,1,36.02015,1,1,0,10/1/2016 7:45:00 PM,9C08B082-E5BF-11E6-8358-0050568862A8,19:45,Dickson,,N,10/1/2016 12:00:00 AM,1,Email,16-0709,47534901-31A0-4A27-82B8-B28795A1666D,,,,0,639,36.02015,-87.25858,-87.25858,101394701,176.9,101394701,DRIVER,,I 40,,04,N,02,16-0709,00,,03,T,1
01,SMYRNA,,9/28/2016 12:00:00 AM,1,35.99754,1,1,0,9/28/2016 8:11:00 AM,8322B2BE-A3B7-11E7-8279-0050568862A8,08:11,Rutherford,,N,9/28/2016 12:00:00 AM,1,Par,16-0711,D1D2E2E6-F73D-42A9-A503-6B762BF6EC45,,LOWRY STREET RAMP,,0,636,35.99754,-86.5261,-86.5261,101395195,0,101395195,DRIVER,,E SAM RIDLEY PKWY,,01,N,03,16-0711,00,,03,T,1
02,MURFREESBORO,,10/5/2016 12:00:00 AM,1,35.85736,1,1,0,10/5/2016 11:51:00 AM,474BAFA5-F198-11E7-8AD4-00A0C6000000,11:51,Rutherford,,N,10/5/2016 12:00:00 AM,1,Par,16-0764,1D6F52B9-0A7A-4024-9928-6A148D02034C,,BLACKMAN RD,,0,643,35.85736,-86.50351,-86.50351,101396788,0,101396788,PASS,,VETERANS PKWY,,01,N,06,16-0764,00,,03,T,1
00,NA,,10/10/2016 12:00:00 AM,1,35.89919,1,1,0,10/10/2016 10:40:00 AM,096B9129-9258-11E6-956E-0050568862A8,10:40,Lauderdale,,N,10/10/2016 12:00:00 AM,1,Par,16-0748,3BF31EE8-3BC7-4B35-98CA-723F149BFEED,,VIAR RD,,0,648,35.89919,-89.44172,-89.44172,101401011,0,101401011,DRIVER,,HIGHWAY 88W,,04,Y,03,16-0748,00,,04,T,1
00,NA,,10/10/2016 12:00:00 AM,1,35.96241,1,1,0,10/10/2016 9:11:00 AM,FFEA9D6A-A508-11E7-8279-0050568862A8,09:11,Knox,,N,10/10/2016 12:00:00 AM,1,Par,16-0740,D520E6E6-A968-4CAE-B9D9-FDC76D1D23A2,,FOGGY RIDGE WAY,,0,648,35.96241,-84.12478,-84.12478,101401583,0,101401583,PED,,BALL CAMP BYINGTON RD,,01,N,03,16-0740,00,,01,T,1
00,NA,,10/11/2016 12:00:00 AM,1,36.53972,1,1,0,10/11/2016 9:28:00 AM,92B4DD81-0F3C-11E7-953A-0050568862A8,09:28,Montgomery,,N,10/11/2016 12:00:00 AM,1,Email,16-0742,5F6922FB-3689-45E2-81CA-2ECFD5969B93,,FORD RD,,0,649,36.53972,-87.17363,-87.17363,101402236,0,101402236,PASS,,HWY 76,,01,N,03,16-0742,00,,03,T,1
00,NA,,10/15/2016 12:00:00 AM,1,35.44239,1,1,0,10/15/2016 12:35:00 PM,46479CB9-A254-11E7-8279-0050568862A8,12:35,McMinn,,N,10/15/2016 12:00:00 AM,1,Email,16-0754,D98BBE73-F15D-4E7B-B02E-C4D3EB3F6761,,,,0,653,35.44239,-84.67263,-84.67263,101406170,46.5,101406170,DRIVER,,I 75,,02,N,01,16-0754,00,,02,T,1
00,NA,,10/28/2016 12:00:00 AM,1,0,1,1,1,10/28/2016 9:20:00 AM,CF440540-E70A-11E6-8358-0050568862A8,09:20,Warren,,N,10/28/2016 12:00:00 AM,1,Email,16-0783,13646F31-41FE-472F-9F28-B1A8F8FDDB55,,SR288,SR288,1,666,0,0,0,101425892,0,101425892,DRIVER,,US70S,US1,01,N,02,16-0783,00,,06,T,1
00,MILLERSVILLE,CITY VERIFIED VIA TDOT REPORT,10/26/2016 12:00:00 AM,1,36.37677,1,1,0,10/26/2016 4:48:00 AM,F7F3D18B-A409-11E7-8279-0050568862A8,04:48,Sumner,,N,10/26/2016 12:00:00 AM,1,Email,16-0777,2AD07951-4AA7-4A38-9D25-CC503EFFFCAE,,,,0,664,36.37677,-86.71288,-86.71288,101429355,101,101429355,DRIVER,,I 65,,01,Y,01,16-0777,00,,03,T,1
00,SPARTA,CITY VERIFIED VIA TDOT REPORT,11/3/2016 12:00:00 AM,1,35.90794,1,1,0,11/3/2016 9:40:00 AM,7ED2455F-0595-11E7-8358-0050568862A8,09:40,White,,N,11/3/2016 12:00:00 AM,1,Email,16-0805,0FF5F219-622C-4890-893F-462307B3C8DC,,WINDING LN,,0,672,35.90794,-85.47224,-85.47224,101431461,0,101431461,DRIVER,,SPENCER HWY,,01,N,03,16-0805,00,,06,T,1
00,CRAB ORCHARD,CITY VERIFIED VIA TDOT REPORT,11/3/2016 12:00:00 AM,1,35.92336,1,1,0,11/3/2016 3:30:00 PM,37F90C00-0FE2-11E7-953A-0050568862A8,15:30,Cumberland,,N,11/3/2016 12:00:00 AM,1,Email,16-0806,7F91518F-0B5B-481E-9108-AEE185BC0224,,,,0,672,35.92336,-84.91156,-84.91156,101433870,326.9,101433870,DRIVER,,I 40,,05,N,01,16-0806,00,,06,T,1
00,PARKER'S CROSSROADS,CITY VERIFIED VIA TDOT REPORT,11/5/2016 12:00:00 AM,1,35.78842,1,1,0,11/5/2016 3:29:00 AM,8A5DAC08-E4A6-11E6-8358-0050568862A8,03:29,Henderson,,N,11/5/2016 12:00:00 AM,1,Par,16-0841,28C1D952-FC03-49AD-A6B7-17ED2CF984ED,,,,0,674,35.78842,-88.39555,-88.39555,101438977,107.75,101438977,PASS,,I 40,,01,N,01,16-0841,00,,08,T,1
01,LEBANON,,11/7/2016 12:00:00 AM,1,36.16568,1,1,0,11/7/2016 11:37:00 AM,153BD523-CBE2-11E7-BF54-D4BED9E3766F,11:37,Wilson,,N,11/7/2016 12:00:00 AM,1,Par,16-0846,37366F5F-A807-4C2B-9476-F6D750D1A319,,STUMPY LN,,0,676,36.16568,-86.30578,-86.30578,101440537,0,101440537,DRIVER,,MURFREESBORO RD,,01,N,02,16-0846,00,,03,T,1
00,NA,,11/16/2016 12:00:00 AM,1,36.42422,1,1,0,11/16/2016 6:15:00 PM,42E0F42F-A476-11E7-8279-0050568862A8,18:15,Claiborne,,N,11/16/2016 12:00:00 AM,1,Par,16-0861,D49330F9-868B-415F-A3D3-816AD870C994,,HIGHWAY 25E SOUTH,,0,685,36.42422,-83.5243,-83.5243,101452791,0,101452791,DRIVER,,LITTLE SYCAMORE RD,,01,N,02,16-0861,00,,05,T,1
00,NA,,11/18/2016 12:00:00 AM,1,35.12601,1,1,0,11/18/2016 6:12:00 PM,3C91737B-A313-11E7-8279-0050568862A8,18:12,Hardin,,N,11/18/2016 12:00:00 AM,1,Email,16-0865,A1A0346A-986D-4960-9147-438A5EE097CA,,JIM PATTERSON LN,,0,687,35.12601,-88.18579,-88.18579,101455479,0,101455479,DRIVER,,HIGHWAY 69,,01,Y,03,16-0865,00,,08,T,1
01,ROCKWOOD,CITY VERIFIED VIA TDOT REPORT,11/20/2016 12:00:00 AM,1,35.86871,1,1,0,11/20/2016 8:55:00 AM,DEF8A897-0733-11E7-8358-0050568862A8,08:55,Roane,,N,11/20/2016 12:00:00 AM,1,Email,16-0870,5675F915-1FB2-403B-A8F0-4E5F2956D0D3,,N GATEWAY AVE,,0,689,35.86871,-84.68281,-84.68281,101459347,0,101459347,DRIVER,,-- UNKNOWN RAMP/ROAD --,,01,N,02,16-0870,00,,01,T,1
01,DICKSON,,11/21/2016 12:00:00 AM,1,36.02003,1,1,0,11/21/2016 10:29:00 PM,212281FC-73C9-11E7-BB36-0023AE9ECC46,22:29,Dickson,,N,11/21/2016 12:00:00 AM,1,Email,16-0882,A670A950-A439-4580-BFC7-79BB312DE3BA,,,,0,690,36.02003,-87.33254,-87.33254,101462022,172.7,101462022,DRIVER,,I 40,,01,N,01,16-0882,00,,03,T,1
00,CROSSVILLE,CITY VERIFIED VIA TDOT REPORT,11/11/2016 12:00:00 AM,1,35.98133,1,1,0,11/11/2016 1:47:00 PM,DE5E787B-DBB8-11E7-AB06-78ACC0B91AAA,13:47,Cumberland,,N,11/11/2016 12:00:00 AM,1,Email,16-0837,775DD3F0-2C87-4A37-9622-3BC7F4AA4747,,I 40,,0,680,35.98133,-85.01103,-85.01103,101462865,0,101462865,DRIVER,,GENESIS OFF RAMP,,01,Y,01,16-0837,00,,06,T,1
00,CROSSVILLE,CITY VERIFIED VIA TDOT REPORT,11/11/2016 12:00:00 AM,1,35.98133,1,1,0,11/11/2016 1:47:00 PM,DE5E787B-DBB8-11E7-AB06-78ACC0B91AAA,13:47,Cumberland,,N,11/11/2016 12:00:00 AM,1,Email,16-0837,63D545CD-542C-4493-A4C6-61EE5DF39AF4,,I 40,,0,680,35.98133,-85.01103,-85.01103,101462865,0,101462865,DRIVER,,GENESIS OFF RAMP,,01,Y,01,16-0837,00,,06,T,1
00,CROSSVILLE,CITY VERIFIED VIA TDOT REPORT,11/11/2016 12:00:00 AM,1,35.98133,1,1,0,11/11/2016 1:47:00 PM,DE5E787B-DBB8-11E7-AB06-78ACC0B91AAA,13:47,Cumberland,,N,11/11/2016 12:00:00 AM,1,Email,16-0837,8BC6C382-EB93-450E-AE16-AD5512353B61,,I 40,,0,680,35.98133,-85.01103,-85.01103,101462865,0,101462865,DRIVER,,GENESIS OFF RAMP,,01,Y,01,16-0837,00,,06,T,1
00,HARROGATE,CITY VERIFIED VIA TDOT REPORT,11/30/2016 12:00:00 AM,1,36.5463,1,1,0,11/30/2016 11:50:00 PM,2B473A2E-A271-11E7-8279-0050568862A8,23:50,Claiborne,,N,11/30/2016 12:00:00 AM,1,Email,16-0895,69E12980-A9D4-4DC9-9858-2BFC8275260C,,W CHEEK LN,,0,699,36.5463,-83.63749,-83.63749,101465157,0,101465157,DRIVER,,CUMBERLAND GAP PKWY,,02,N,02,16-0895,00,,05,T,1
01,NA,,12/1/2016 12:00:00 AM,1,35.87072,1,1,0,12/1/2016 10:03:00 AM,DD31F9FD-BAB1-11E6-A321-0050568862A8,10:03,Sevier,,N,12/1/2016 12:00:00 AM,1,Par,16-0902,77F07F04-12DB-4384-BF8A-73134578E0B8,,BOYDS CREEK HWY,,0,700,35.87072,-83.75707,-83.75707,101467349,0,101467349,DRIVER,,CHAPMAN HWY,,01,N,03,16-0902,00,,01,T,1
00,NA,,12/3/2016 12:00:00 AM,1,36.42023,1,1,0,12/3/2016 11:35:00 PM,2673C8EC-ED2E-11E6-8358-0050568862A8,23:35,Robertson,,N,12/3/2016 12:00:00 AM,1,Email,16-0908,F6FBD63A-F61B-4328-ADEC-30E5D7C353CD,,,,0,702,36.42023,-87.05477,-87.05477,101467808,22.45,101467808,DRIVER,,I 24,,01,N,01,16-0908,00,,03,T,1
00,NA,,12/10/2016 12:00:00 AM,1,35.59111,1,1,0,12/10/2016 1:20:00 AM,20C9EA48-A54E-11E7-8279-0050568862A8,01:20,Coffee,,N,12/10/2016 12:00:00 AM,1,Email,16-0922,A1040DF2-A451-4470-A799-D9271551C426,,,,0,709,35.59111,-86.23844,-86.23844,101474100,99.2,101474100,PASS,,I 24,,01,Y,01,16-0922,00,,02,T,1
00,SPENCER,CITY VERIFIED VIA TDOT REPORT,12/7/2016 12:00:00 AM,1,35.76993,1,1,0,12/7/2016 7:24:00 PM,A51844E1-589E-11E7-8E93-0050568862A8,19:24,VanBuren,,N,12/7/2016 12:00:00 AM,1,Email,16-0917,BF4BF225-2B36-4FC9-A8CB-B93CA0CC3949,,SR 111,,0,706,35.76993,-85.46373,-85.46373,101478004,0,101478004,DRIVER,,ANDREW K PARKER RD,,01,N,03,16-0917,00,,06,T,1
00,KIMBALL,CITY VERIFIED VIA TDOT REPORT,12/11/2016 12:00:00 AM,1,35.04431,1,1,0,12/11/2016 1:40:00 PM,AF82B622-492C-11E7-85E5-0050568862A8,13:40,Marion,,N,12/11/2016 12:00:00 AM,1,Email,16-0925,1CEB4896-6449-4E00-B6D4-5A6BEA735BE6,,,,0,710,35.04431,-85.69969,-85.69969,101480447,151.45,101480447,DRIVER,,I 24,,01,Y,01,16-0925,00,,02,T,1
00,NA,,12/21/2016 12:00:00 AM,1,36.25407,1,1,0,12/21/2016 7:07:00 PM,468B06A5-8BB1-11E7-BA75-0050568862A8,19:07,Greene,,N,12/21/2016 12:00:00 AM,1,Email,16-0969,9A4A71B5-62E5-4750-B393-2395BD55828C,,DINWIDDIE RD,,0,720,36.25407,-82.73373,-82.73373,101488072,0,101488072,DRIVER,,SNAPPS FERRY RD,,01,N,04,16-0969,00,,05,T,1
00,NA,,1/6/2017 12:00:00 AM,1,35.86834,1,1,0,1/6/2017 7:00:00 AM,DD1FB88E-CEDE-11E7-BD6D-A402B9E9C1B7,07:00,Roane,,N,1/6/2017 12:00:00 AM,1,Par,17-0011,628D0F68-BAAA-4E8C-92D4-3D4A26986C27,,,,0,736,35.86834,-84.43747,-84.43747,101498361,357.05,101498361,DRIVER,,I 40,,01,N,01,17-0011,00,,01,T,1
00,NA,,1/11/2017 12:00:00 AM,1,35.77622,1,1,0,1/11/2017 3:39:00 PM,C983EC96-6FD6-11E7-B0A3-0050568862A8,15:39,Warren,,N,1/11/2017 12:00:00 AM,1,Email,17-0020,145FC2E9-B7CC-4C53-BD70-15A5CD4160B4,,ROCK ISLAND RD,,0,741,35.77622,-85.61293,-85.61293,101507438,0,101507438,DRIVER,,SPARTA HWY,,01,N,02,17-0020,00,,06,T,1
00,NA,,1/11/2017 12:00:00 AM,1,35.77622,1,1,0,1/11/2017 3:39:00 PM,C983EC96-6FD6-11E7-B0A3-0050568862A8,15:39,Warren,,N,1/11/2017 12:00:00 AM,1,Email,17-0020,968DFFCC-B3EC-467F-B3CE-B24BAA411B81,,ROCK ISLAND RD,,0,741,35.77622,-85.61293,-85.61293,101507438,0,101507438,PASS,,SPARTA HWY,,01,N,02,17-0020,00,,06,T,1
00,NA,,1/26/2017 12:00:00 AM,1,35.53823,1,1,0,1/26/2017 5:01:00 AM,DAB2CE11-E672-11E6-8358-0050568862A8,05:01,Coffee,,N,1/26/2017 12:00:00 AM,1,Email,17-0046,C2EA7FFB-57DA-469F-92BB-90B34FA31C6E,,,,0,756,35.53823,-86.16998,-86.16998,101538340,104.8,101538340,DRIVER,,I 24,,01,N,01,17-0046,00,,02,T,1
02,NA,,1/31/2017 12:00:00 AM,1,35.34208,1,1,0,1/31/2017 9:51:00 AM,A2F1758E-6587-11E7-8E93-0050568862A8,09:51,Giles,,N,1/31/2017 12:00:00 AM,1,Email,17-0059,8E7A50C4-6ABA-4E0A-A85F-B2C8B7522024,,ROSE HILL RD,,0,761,35.34208,-87.16191,-87.16191,101542015,0,101542015,DRIVER,,REA BRANCH RD,,04,N,04,17-0059,00,,07,T,1
00,NA,,2/4/2017 12:00:00 AM,1,36.61091,1,1,0,2/4/2017 8:52:00 PM,3DF6591C-5F7B-11E7-B3A7-0015FF769150,20:52,Clay,,N,2/4/2017 12:00:00 AM,1,Email,17-0068,529BCE72-407D-440A-9B23-445212559B0D,,WM REECER RD,,0,765,36.61091,-85.64098,-85.64098,101546323,0,101546323,ONO,,TOMPKINSVILLE HWY,,01,N,03,17-0068,00,,06,T,1
00,NA,,2/5/2017 12:00:00 AM,1,36.3385,1,1,0,2/5/2017 8:00:00 AM,E2BDA6F3-3F44-11E7-85E5-0050568862A8,08:00,Jackson,,N,2/5/2017 12:00:00 AM,1,Email,17-0070,CED9D1CB-134A-4611-B4BE-8D80B845E11A,,GRANVILLE HWY,,0,766,36.3385,-85.7028,-85.7028,101546413,0,101546413,DRIVER,,STOCKTON LN,,01,N,03,17-0070,00,,06,T,1
00,NA,,2/5/2017 12:00:00 AM,1,36.3385,1,1,0,2/5/2017 8:00:00 AM,E2BDA6F3-3F44-11E7-85E5-0050568862A8,08:00,Jackson,,N,2/5/2017 12:00:00 AM,1,Email,17-0070,296D3B5E-4FB9-4A6E-87C2-DAA529D1CD7E,,GRANVILLE HWY,,0,766,36.3385,-85.7028,-85.7028,101546413,0,101546413,DRIVER,,STOCKTON LN,,01,N,03,17-0070,00,,06,T,1
00,NA,,2/7/2017 12:00:00 AM,1,35.18097,1,1,0,2/7/2017 11:20:00 PM,C36B9B10-37F7-11E7-B8C8-0050568862A8,23:20,Bradley,,N,2/7/2017 12:00:00 AM,1,Email,17-0078,15A20FCE-DC87-442B-B956-A68273F04458,,,,0,768,35.18097,-84.91114,-84.91114,101553804,23.45,101553804,PASS,,I 75,,01,N,01,17-0078,00,,02,T,1
00,NA,,2/7/2017 12:00:00 AM,1,35.18097,1,1,0,2/7/2017 11:20:00 PM,C36B9B10-37F7-11E7-B8C8-0050568862A8,23:20,Bradley,,N,2/7/2017 12:00:00 AM,1,Email,17-0078,AE287032-7C81-4CC5-9FAC-E193756662C7,,,,0,768,35.18097,-84.91114,-84.91114,101553804,23.45,101553804,DRIVER,,I 75,,01,N,01,17-0078,00,,02,T,1
00,NA,,2/13/2017 12:00:00 AM,1,35.93869,1,1,0,2/13/2017 11:00:00 PM,83DF6201-FE90-11E6-8358-0050568862A8,23:00,Rutherford,,N,2/13/2017 12:00:00 AM,1,Email,17-0100,176E53D4-80E6-43C9-B1B0-3D852C8D895B,,,,0,774,35.93869,-86.53602,-86.53602,101556218,69.55,101556218,DRIVER,,I 24,,01,N,01,17-0100,00,,03,T,1
00,NA,,3/7/2017 12:00:00 AM,1,36.24965,1,1,0,3/7/2017 11:50:00 AM,8A644F3E-98BC-11E7-BA75-0050568862A8,11:50,Greene,,N,3/7/2017 12:00:00 AM,1,Par,17-0146,6B808321-87B7-4C63-AA81-0F6FFE818BF8,,OLD BAILEYTON RD,,0,796,36.24965,-82.83031,-82.83031,101580102,0,101580102,DRIVER,,BAILEYTON RD,,01,N,03,17-0146,00,,05,T,1
00,NA,,3/10/2017 12:00:00 AM,1,36.47651,1,1,0,3/10/2017 11:02:00 AM,31FCCCD7-0F11-11E7-953A-0050568862A8,11:02,Overton,,N,3/10/2017 12:00:00 AM,1,Email,17-0149,898BE789-B25D-4529-9144-1DF0D004CB09,,THOMPSON CIR,,0,799,36.47651,-85.37459,-85.37459,101582193,0,101582193,DRIVER,,CELINA HWY,,01,N,03,17-0149,00,,06,T,1
00,NA,,3/13/2017 12:00:00 AM,1,35.85674,1,1,0,3/13/2017 11:13:00 PM,C05735A8-128C-11E7-9977-0050B600AA1E,23:13,Rutherford,,N,3/13/2017 12:00:00 AM,1,Email,17-0155,0B662520-830F-4743-A7BB-6CEF2165C173,,,,0,802,35.85674,-86.60045,-86.60045,101588355,45.4,101588355,PASS,,I 840,,10,N,01,17-0155,00,,03,T,1
00,NA,,3/17/2017 12:00:00 AM,1,35.35904,1,1,0,3/17/2017 7:24:00 AM,3C29A7FB-E5C9-11E7-96A2-FC4DD4D3C0D2,07:24,Sequatchie,,N,3/17/2017 12:00:00 AM,1,Email,17-0166,900E23AA-DEAA-4CDA-8B2E-7D1DD12DB7A1,,HENSON GAP RD,,0,806,35.35904,-85.31915,-85.31915,101595464,0,101595464,DRIVER,,STATE ROUTE 111S,,01,N,02,17-0166,00,,02,T,1
00,GORDONSVILLE,CITY VERIFIED VIA TDOT REPORT,3/30/2017 12:00:00 AM,1,36.17625,1,1,0,3/30/2017 5:19:00 PM,FDCEC8F3-1BB9-11E7-953A-0050568862A8,17:19,Smith,,N,3/30/2017 12:00:00 AM,1,Email,17-0198,BF2211D7-5EBE-4625-BB78-6B9923439E89,,,,0,819,36.17625,-85.93061,-85.93061,101600780,259.7,101600780,DRIVER,,I 40,,01,N,01,17-0198,00,,06,T,1
01,OAK RIDGE,,4/10/2017 12:00:00 AM,1,35.89778,1,1,0,4/10/2017 1:56:00 PM,FD3A5F21-DE87-11E8-9E2F-54BF6478213D,13:56,Roane,,N,4/10/2017 12:00:00 AM,1,Par,17-0231,080010CE-7A9B-49A4-9440-F36BC12BE08D,,WHIT RD,,0,830,35.89778,-84.32498,-84.32498,101610134,0,101610134,DRIVER,,STATE HWY 95,,01,N,03,17-0231,00,,01,T,1
00,NA,,4/6/2017 12:00:00 AM,1,36.11203,1,1,0,4/6/2017 3:33:00 PM,B3FEEB3E-2DBB-11E7-B8C8-0050568862A8,15:33,Dyer,,N,4/6/2017 12:00:00 AM,1,Email,17-0219,B0D05330-333C-4E5B-93E8-D61E6096DA87,,LANESFERRY RD,,0,826,36.11203,-89.29084,-89.29084,101612452,0,101612452,DRIVER,,N HIGHWAY 51,,01,N,02,17-0219,00,,04,T,1
00,NA,,4/13/2017 12:00:00 AM,1,35.83901,1,1,0,4/13/2017 6:02:00 PM,E27161D7-802F-11E7-B0A3-0050568862A8,18:02,Decatur,,N,4/13/2017 12:00:00 AM,1,Par,17-0245,0D3FC235-A5A6-40A3-94D5-4075F28593D0,,,,0,833,35.83901,-88.08846,-88.08846,101615994,125.75,101615994,PASS,,I 40,,01,N,01,17-0245,00,,08,T,1
00,NA,,4/13/2017 12:00:00 AM,1,35.83901,1,1,0,4/13/2017 6:02:00 PM,E27161D7-802F-11E7-B0A3-0050568862A8,18:02,Decatur,,N,4/13/2017 12:00:00 AM,1,Par,17-0245,5DDB558B-6573-424A-8FD9-ACDCC6CB9FF1,,,,0,833,35.83901,-88.08846,-88.08846,101615994,125.75,101615994,PASS,,I 40,,01,N,01,17-0245,00,,08,T,1
00,NA,,4/13/2017 12:00:00 AM,1,35.83901,1,1,0,4/13/2017 6:02:00 PM,E27161D7-802F-11E7-B0A3-0050568862A8,18:02,Decatur,,N,4/13/2017 12:00:00 AM,1,Par,17-0245,46D0E9D9-B1EA-4A09-8E1B-F376B7F8F145,,,,0,833,35.83901,-88.08846,-88.08846,101615994,125.75,101615994,DRIVER,,I 40,,01,N,01,17-0245,00,,08,T,1
00,NA,,4/27/2017 12:00:00 AM,1,35.48847,1,1,0,4/27/2017 5:15:00 PM,B9635369-375E-11E7-B8C8-0050568862A8,17:15,Bedford,,N,4/27/2017 12:00:00 AM,1,Par,17-0305,68C71398-0C79-4096-9E46-7138B78388D3,,HASKINS CHAPEL RD,,0,847,35.48847,-86.6296,-86.6296,101628887,0,101628887,DRIVER,,HIGHWAY 64W,,01,N,03,17-0305,00,,07,T,1
01,NA,,4/18/2017 12:00:00 AM,1,35.50858,1,1,0,4/18/2017 11:18:00 AM,EF9CAFC0-72ED-11E7-B0A3-0050568862A8,11:18,Henderson,,N,4/18/2017 12:00:00 AM,1,Email,17-0256,7E4DA09F-1B8D-4A36-93F6-6F8109FE2815,,HWY 104S,,0,838,35.50858,-88.32375,-88.32375,101628921,0,101628921,DRIVER,,HWY 100,,01,Y,03,17-0256,00,,08,T,1
00,NA,,4/29/2017 12:00:00 AM,1,36.11498,1,1,0,4/29/2017 11:41:00 PM,816C3373-7391-11E7-B0A3-0050568862A8,23:41,Jefferson,,N,4/29/2017 12:00:00 AM,1,Email,17-0284,CE6E496D-EE8C-4611-979E-11378412857D,,,,0,849,36.11498,-83.33003,-83.33003,101637885,4.7,101637885,PASS,,I 81,,01,N,01,17-0284,00,,05,T,1
00,NA,,4/29/2017 12:00:00 AM,1,36.11498,1,1,0,4/29/2017 11:41:00 PM,816C3373-7391-11E7-B0A3-0050568862A8,23:41,Jefferson,,N,4/29/2017 12:00:00 AM,1,Email,17-0284,EB265514-62AA-4A35-8C18-B49341FA492C,,,,0,849,36.11498,-83.33003,-83.33003,101637885,4.7,101637885,DRIVER,,I 81,,01,N,01,17-0284,00,,05,T,1
00,MURFREESBORO,,5/8/2017 12:00:00 AM,1,35.77739,1,1,0,5/8/2017 10:29:00 AM,7DC25454-F57B-11E7-BEAB-00A0C6000000,10:29,Rutherford,,N,5/8/2017 12:00:00 AM,1,Par,17-0341,5AFCFC92-6563-49ED-9EA0-DADE99B3911D,,SHELBYVILLE PIKE,,0,858,35.77739,-86.40159,-86.40159,101641203,0,101641203,PASS,,JOE B JACKSON PKWY,,01,N,02,17-0341,00,,03,T,1
02,NA,,5/9/2017 12:00:00 AM,1,36.46273,1,1,0,5/9/2017 8:30:00 AM,85DD1D08-3750-11E7-B8C8-0050568862A8,08:30,Fentress,,N,5/9/2017 12:00:00 AM,1,Email,17-0296,C3D78078-EFF5-41DD-83C0-3B26011EDA09,,WINDCREST DR,,0,859,36.46273,-84.90478,-84.90478,101641927,0,101641927,DRIVER,,PICKETT PARK HWY,,01,N,03,17-0296,00,,06,T,1
01,LEBANON,,5/12/2017 12:00:00 AM,1,36.18516,1,1,0,5/12/2017 2:21:00 PM,787DC8B3-3F21-11E7-85E5-0050568862A8,14:21,Wilson,,N,5/12/2017 12:00:00 AM,1,Par,17-0339,9843B140-C7D3-4389-B790-ACC317956C8A,,MARTHA LEEVILLE RD,,0,862,36.18516,-86.43407,-86.43407,101647030,0,101647030,DRIVER,,EASTGATE BLVD,,01,N,06,17-0339,00,,03,T,1
01,NASHVILLE,,5/15/2017 12:00:00 AM,1,36.11612,1,1,0,5/15/2017 8:51:00 AM,6EC3DD94-27A9-11E8-BF22-484D7EFA74FE,08:51,Davidson,,N,5/15/2017 12:00:00 AM,1,Email,17-0318,AE99722C-8B6E-4A8D-BA16-ADBECBEEC6B5,,,,0,865,36.11612,-86.79578,-86.79578,101648030,3.65,101648030,PASS,,I 440,,01,N,01,17-0318,00,,03,T,1
00,NA,,5/18/2017 12:00:00 AM,1,35.59034,1,1,0,5/18/2017 8:51:00 AM,BE618E2A-68A9-11E7-8E93-0050568862A8,08:51,Haywood,,N,5/18/2017 12:00:00 AM,1,Email,17-0330,F9F65F47-E8F7-4FE0-BDEE-69BAC63CAB01,,CHESTNUT GROVE RD,,0,868,35.59034,-89.15941,-89.15941,101654612,0,101654612,PASS,,HIGHWAY 70E,,01,Y,02,17-0330,00,,04,T,1
00,NA,,5/18/2017 12:00:00 AM,1,35.59034,1,1,0,5/18/2017 8:51:00 AM,BE618E2A-68A9-11E7-8E93-0050568862A8,08:51,Haywood,,N,5/18/2017 12:00:00 AM,1,Email,17-0330,27241DA6-4380-4233-9C58-A9F9265770FE,,CHESTNUT GROVE RD,,0,868,35.59034,-89.15941,-89.15941,101654612,0,101654612,DRIVER,,HIGHWAY 70E,,01,Y,02,17-0330,00,,04,T,1
